refno,material,property_name,property_value,property_unit,Has material been reported to be superconducting?,What is the highest measured Tc?,What is the lowest temp for measurement at which material was not superconducting?,file
P072014504,Bi1.69Pb0.3Sr1.35La0.55Cu1.09O6+z,tcn,4.0,K,No,,4,P072014504
P072014504,Bi1.69Pb0.3Sr1.92La0.16Cu1.08O6+z,tc,24.0,K,Yes,24,,P072014504
SUP0090181,Bi1.6Pb0.35V0.05Sr2Ca2Cu3O10.12,tc,103.7,K,Yes,103.7,,
PHC1650340,Bi1.6Pb0.3Sb0.1Sr2Ca2Cu3O10,tc,109.0,K,Yes,109,,
PHC1690250,Bi1.6Pb0.3Sb0.1Sr2Ca2Cu3OX,tc,109.6,K,Yes,109.6,,
SSC0690867,Bi1.6Pb0.3Sb0.1Sr2Ca2Cu3OZ,tc,132.0,K,Yes,132,,
SUP0090181,Bi1.6Pb0.3Sr2Ca2Cu3V0.1O10.12,tc,102.5,K,Yes,102.5,,
PHC2250149,Bi1.6Pb0.3Te0.1Sr2Ca3Cu4Oz,tc,102.7,K,Yes,102.7,,
MPL0091387,Bi1.6Pb0.3W0.1Sr2Ca2Cu3Oz,tc,108.0,K,Yes,108,,
P072014504,Bi1.6Pb0.43Sr1.39La0.5Cu1.09O6+z,tc,5.0,K,Yes,5,,P072014504
MRB1120384,Bi1.6Pb0.4Pd1,tc,3.1,K,Yes,3.1,,
SSC0750617,Bi1.6Pb0.4Sb0.1Sr2Ca2Cu2OZ,tc,136.0,K,Yes,136,,
SST0140599,Bi1.6Pb0.4Sr1.65La0.35Cu1Oz,tc,43.0,K,Yes,43,,
PHC1760445,Bi1.6Pb0.4Sr1.6Ca1Nd0.4Cu2O8.17,tc,79.0,K,Yes,79,,
PHC3900075,Bi1.6Pb0.4Sr1.6La0.4Cu0.97Mn0.03Oz,tc,20.1,K,Yes,20.1,,
PHC3900075,Bi1.6Pb0.4Sr1.6La0.4Cu0.98Mn0.02Oz,tc,26.1,K,Yes,26.1,,
PHC3900075,Bi1.6Pb0.4Sr1.6La0.4Cu0.99Mn0.01Oz,tc,30.9,K,Yes,30.9,,
PHC2250173,Bi1.6Pb0.4Sr1.6La0.4Cu1O4,tc,36.0,K,Yes,36,,
PHC1790405,Bi1.6Pb0.4Sr1.6La0.4Cu1O6.082,tc,23.0,K,Yes,23,,
PHC1780110,Bi1.6Pb0.4Sr1.6La0.4Cu1OY,tc,26.0,K,Yes,26,,
PHC3900075,Bi1.6Pb0.4Sr1.6La0.4Cu1Oz,tc,34.8,K,Yes,34.8,,
PR05914080,Bi1.6Pb0.4Sr1.8Ca0.9Cu2OZ,tc,85.5,K,Yes,85.5,,
PHC1760445,Bi1.6Pb0.4Sr1.8Ca1Nd0.2Cu2O8.11,tc,87.0,K,Yes,87,,
PHC4450440,Bi1.6Pb0.4Sr1.9La0.1Cu1O6+z,tc,43.3,K,Yes,43.3,,
PHC4230119,Bi1.6Pb0.4Sr2Ca0.5Sm1.5Cu3Oz,tcn,21.0,K,No,,21,
PHC1760445,Bi1.6Pb0.4Sr2Ca0.6Nd0.4Cu2O8.26,tc,85.0,K,Yes,85,,
PHC1760445,Bi1.6Pb0.4Sr2Ca0.8Nd0.2Cu2O8.16,tc,87.0,K,Yes,87,,
PR06012495,Bi1.6Pb0.4Sr2Ca0.8Y0.2Cu2O8+D,tc,81.3,K,Yes,81.3,,
PRB079064507,Bi1.6Pb0.4Sr2Ca0.95Y0.05Cu2O8+z,tc,96.0,K,Yes,96,,PRB079064507
PRB079064507,Bi1.6Pb0.4Sr2Ca0.9Y0.1Cu2O8+z,tc,94.0,K,Yes,94,,PRB079064507
PHC4230119,Bi1.6Pb0.4Sr2Ca1.5Sm0.5Cu3Oz,tc,28.0,K,Yes,28,,
PHC4230119,Bi1.6Pb0.4Sr2Ca1.995Sm0.005Cu3Oz,tc,93.3,K,Yes,93.3,,
PHC4230119,Bi1.6Pb0.4Sr2Ca1.9995Sm0.0005Cu3Oz,tc,102.0,K,Yes,102,,
PHC4230119,Bi1.6Pb0.4Sr2Ca1.999Sm0.001Cu3Oz,tc,97.1,K,Yes,97.1,,
PHC4230119,Bi1.6Pb0.4Sr2Ca1.99Sm0.01Cu3Oz,tc,84.8,K,Yes,84.8,,
PHC4230119,Bi1.6Pb0.4Sr2Ca1.9Sm0.1Cu3Oz,tc,70.0,K,Yes,70,,
PRB079064507,Bi1.6Pb0.4Sr2Ca1Cu2O8+z,tc,96.0,K,Yes,96,,PRB079064507
PHC4230119,Bi1.6Pb0.4Sr2Ca1Sm1Cu3Oz,tcn,21.0,K,No,,21,
PHC4420101,Bi1.6Pb0.4Sr2Ca2.5Sm0.5Cu3Oz,tc,53.0,K,Yes,53,,
PHC4420101,Bi1.6Pb0.4Sr2Ca2.995Sm0.005Cu3Oz,tc,100.0,K,Yes,100,,
PHC4420101,Bi1.6Pb0.4Sr2Ca2.9995Sm0.0005Cu3Oz,tc,109.0,K,Yes,109,,
PHC4420101,Bi1.6Pb0.4Sr2Ca2.999Sm0.001Cu3Oz,tc,104.5,K,Yes,104.5,,
PHC4420101,Bi1.6Pb0.4Sr2Ca2.99Sm0.01Cu3Oz,tc,93.5,K,Yes,93.5,,
PHC4420101,Bi1.6Pb0.4Sr2Ca2.9Sm0.1Cu3Oz,tc,79.0,K,Yes,79,,
PHC2330327,Bi1.6Pb0.4Sr2Ca2Cu3F0.65Oz,tc,100.0,K,Yes,100,,
PHC2330327,Bi1.6Pb0.4Sr2Ca2Cu3F0.85Oz,tc,116.0,K,Yes,116,,
PHC1820132,Bi1.6Pb0.4Sr2Ca2Cu3O10,tc,108.0,K,Yes,108,,
SUP0110279,Bi1.6Pb0.4Sr2Ca2Cu3O10.07,tc,102.3,K,Yes,102.3,,
SUP0090181,Bi1.6Pb0.4Sr2Ca2Cu3O10.11,tc,105.3,K,Yes,105.3,,
SUP0110279,Bi1.6Pb0.4Sr2Ca2Cu3O10.15,tc,97.0,K,Yes,97,,
SUP0110279,Bi1.6Pb0.4Sr2Ca2Cu3O10.24,tc,73.3,K,Yes,73.3,,
SUP0110279,Bi1.6Pb0.4Sr2Ca2Cu3O10.34,tc,67.1,K,Yes,67.1,,
SUP0110279,Bi1.6Pb0.4Sr2Ca2Cu3O9.91,tc,104.4,K,Yes,104.4,,
SSC0820673,Bi1.6Pb0.4Sr2Ca2Cu3OZ,tc,108.1,K,Yes,108.1,,
PHC4420101,Bi1.6Pb0.4Sr2Ca2Cu3Oz,tc,111.5,K,Yes,111.5,,
PR05602383,Bi1.6Pb0.4Sr2Ca3Cu3.5Si0.5O12-z,tc,110.0,K,Yes,110,,
PR06009845,Bi1.6Pb0.4Sr2Ca3Cu3.6Ag0.4OZ,tc,107.3,K,Yes,107.3,,
PR05602383,Bi1.6Pb0.4Sr2Ca3Cu3.86Si0.14O12-z,tc,110.0,K,Yes,110,,
PR05602383,Bi1.6Pb0.4Sr2Ca3Cu3.88Si0.12O12-z,tc,110.0,K,Yes,110,,
PR06009845,Bi1.6Pb0.4Sr2Ca3Cu3.92Ag0.08OZ,tc,108.2,K,Yes,108.2,,
PR05602383,Bi1.6Pb0.4Sr2Ca3Cu3.92Si0.08O12-z,tc,110.0,K,Yes,110,,
PR06009845,Bi1.6Pb0.4Sr2Ca3Cu3.96Ag0.04OZ,tc,107.5,K,Yes,107.5,,
PR06009845,Bi1.6Pb0.4Sr2Ca3Cu3.984Ag0.016OZ,tc,108.4,K,Yes,108.4,,
PR06009845,Bi1.6Pb0.4Sr2Ca3Cu3.98Ag0.02OZ,tc,107.5,K,Yes,107.5,,
PR06009845,Bi1.6Pb0.4Sr2Ca3Cu3.996Ag0.004OZ,tc,108.4,K,Yes,108.4,,
PR05602383,Bi1.6Pb0.4Sr2Ca3Cu4O12-z,tc,110.0,K,Yes,110,,
PR06009845,Bi1.6Pb0.4Sr2Ca3Cu4OZ,tc,108.0,K,Yes,108,,
PHC1700035,Bi1.6Pb0.4Sr2Cu2.75Mo0.25OY,tc,96.9,K,Yes,96.9,,
PHC1700035,Bi1.6Pb0.4Sr2Cu2.7Mo0.3OY,tc,96.9,K,Yes,96.9,,
PHC1700035,Bi1.6Pb0.4Sr2Cu2.85Mo0.15OY,tc,98.5,K,Yes,98.5,,
PHC1700035,Bi1.6Pb0.4Sr2Cu2.8Mo0.2OY,tc,98.4,K,Yes,98.4,,
PHC1700035,Bi1.6Pb0.4Sr2Cu2.95Mo0.05OY,tc,107.1,K,Yes,107.1,,
PHC1700035,Bi1.6Pb0.4Sr2Cu2.9Mo0.1OY,tc,107.0,K,Yes,107,,
SUP0110367,Bi1.6Pb0.4Sr2Cu3Ca2O10.04,tc,45.0,K,Yes,45,,
SUP0110367,Bi1.6Pb0.4Sr2Cu3Ca2O10.08,tc,60.0,K,Yes,60,,
SUP0110367,Bi1.6Pb0.4Sr2Cu3Ca2O10.11,tc,84.0,K,Yes,84,,
SUP0110367,Bi1.6Pb0.4Sr2Cu3Ca2O1013,tc,102.0,K,Yes,102,,
PHC3020325,Bi1.6Pb0.4Sr2Eu1.65Ce0.35Cu2OZ,tc,31.5,K,Yes,31.5,,
PHC2200265,Bi1.6Pb0.4Sr2Y1.65Ce0.35Cu2O10+z,tc,21.4,K,Yes,21.4,,
PHC2130051,Bi1.6Pb0.4Sr4Cu2C1O11,tc,41.0,K,Yes,41,,
PHC2130051,Bi1.6Pb0.4Sr6Cu3C2O16,tc,54.0,K,Yes,54,,
PHC3990001,Bi1.6Pb0.6Sr2Ca1Cu2O8+z,tc,91.0,K,Yes,91,,
APL0763795,Bi1.6Pb0.8Sr2Ca1Cu1.99Cr0.01Oz,tc,68.0,K,Yes,68,,
PR06004378,Bi1.6Sr0.4Yb0.65Ca0.35Cu3O6.075,tc,43.0,K,Yes,43,,
PR06004378,Bi1.6Sr0.4Yb0.75Ca0.25Cu3O6.072,tc,27.0,K,Yes,27,,
PR06004378,Bi1.6Sr0.4Yb0.8Ca0.2Cu3O6.166,tcn,5.0,K,No,,5,
PR06004378,Bi1.6Sr0.4Yb0.9Ca0.1Cu3O6.104,tcn,5.0,K,No,,5,
PR06004378,Bi1.6Sr0.4Yb1Cu3O6.201,tcn,5.0,K,No,,5,
PR06004378,Bi1.6Sr0.4Yb1Cu3O6.225,tcn,5.0,K,No,,5,
PR06004378,Bi1.6Sr0.4Yb1Cu3O6.248,tcn,5.0,K,No,,5,
PR06004378,Bi1.6Sr0.4Yb1Cu3O6.35,tc,37.0,K,Yes,37,,
PR06004378,Bi1.6Sr0.4Yb1Cu3O6.817,tc,55.0,K,Yes,55,,
PR06004378,Bi1.6Sr0.4Yb1Cu3O6.999,tc,82.0,K,Yes,82,,
JP00901105,Bi1.6V0.4Sr2Ca2Cu3O10+z,tc,92.0,K,Yes,92,,
CRY0350271,Bi1.72Pb0.28Sr2Ca2Cu3O16+z,tc,102.98,K,Yes,102.98,,
P072014504,Bi1.73Pb0.27Sr1.27La0.64Cu1.09O6+z,tcn,4.0,K,No,,4,P072014504
P072024533,Bi1.74Pb0.38Sr1.88Cu1O6+z,tc,21.0,K,Yes,21,,
SUP0110437,Bi1.75Pb0.25Sr2Ca1Cu1.9Sn0.4Oz,tc,99.0,K,Yes,99,,
SUP0110437,Bi1.75Pb0.25Sr2Ca1Cu2.15Sn0.15Oz,tc,106.6,K,Yes,106.6,,
SUP0110437,Bi1.75Pb0.25Sr2Ca1Cu2.1Sn0.2Oz,tc,105.0,K,Yes,105,,
SUP0110437,Bi1.75Pb0.25Sr2Ca1Cu2.25Sn0.05Oz,tc,86.0,K,Yes,86,,
SUP0110437,Bi1.75Pb0.25Sr2Ca1Cu2.3Oz,tc,85.0,K,Yes,85,,
PR0460463,Bi1.75Pb0.25Sr2Ca1Cu2O8+Z,tc,90.8,K,Yes,90.8,,
PR0430457,Bi1.75Pb0.25Sr2Ca2Cu3O10+Z,tc,108.0,K,Yes,108,,
PRB100094525,Bi1.75Sb0.25Te2Se1,tc,3.9,K,Yes,3.9,,
PR04111029,Bi1.76Pb0.24Sr2Ca2Cu3OZ,tc,108.5,K,Yes,108.5,,
SSC1010617,Bi1.7Cd0.3Sr2Ca1Cu2Oz,tc,53.0,K,Yes,53,,
PHC1760179,Bi1.7Pb0.2Mo0.1Sr2Ca2Cu3OX,tc,110.0,K,Yes,110,,
PHC1760179,Bi1.7Pb0.2Sb0.1Sr2Ca2Cu3OX,tc,110.5,K,Yes,110.5,,
TH1380136,Bi1.7Pb0.2Sb0.1Sr2Ca2Cu3OZ,tc,116.0,K,Yes,116,,
PHC1760179,Bi1.7Pb0.2V0.1Sr2Ca2Cu3OX,tc,110.0,K,Yes,110,,
PHC1760179,Bi1.7Pb0.2W0.1Sr2Ca2Cu3OX,tc,103.0,K,Yes,103,,
MSE0130215,Bi1.7Pb0.3Ag0.1Sr2Ca2Cu3Oz,tc,105.0,K,Yes,105,,
MSE0130215,Bi1.7Pb0.3Ag0.2Sr2Ca2Cu3Oz,tc,97.0,K,Yes,97,,
MSE0130215,Bi1.7Pb0.3Ag0.3Sr2Ca2Cu3Oz,tc,96.0,K,Yes,96,,
MSE0130215,Bi1.7Pb0.3Ag0.4Sr2Ca2Cu3Oz,tc,106.0,K,Yes,106,,
PR04412516,Bi1.7Pb0.3Sb0.05Sr2Ca2Cu3OZ,tc,106.2,K,Yes,106.2,,
PR04412516,Bi1.7Pb0.3Sb0.1Sr2Ca2Cu3OZ,tc,106.3,K,Yes,106.3,,
PHC1790405,Bi1.7Pb0.3Sr1.6La0.4Cu1O6.141,tc,20.2,K,Yes,20.2,,
PHC1780110,Bi1.7Pb0.3Sr1.7La0.3Cu1OY,tc,23.0,K,Yes,23,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.55Y0.45Cu1.94Zn0.06O8,tc,41.3,K,Yes,41.3,,
PHC2520049,Bi1.7Pb0.3Sr2Ca0.5Sm1.5Cu3Oz,tcn,4.2,K,No,,4.2,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.5Y0.5Cu2O8,tc,41.3,K,Yes,41.3,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.65Y0.35Cu1.94Zn0.06O8,tc,62.1,K,Yes,62.1,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.6Y0.4Cu1.94Zn0.06O8,tc,53.5,K,Yes,53.5,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.6Y0.4Cu2O8,tc,63.5,K,Yes,63.5,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.75Y0.25Cu1.94Zn0.06O8,tc,60.6,K,Yes,60.6,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu1.94Zn0.06O8,tc,66.9,K,Yes,66.9,,
PHC1650055,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.25,tc,72.0,K,Yes,72,,
PHC1650055,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.26,tc,73.0,K,Yes,73,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.8Y0.2Cu1.94Zn0.06O8,tc,54.4,K,Yes,54.4,,
PCS0620187,Bi1.7Pb0.3Sr2Ca0.8Y0.2Cu2O8,tc,69.7,K,Yes,69.7,,
PHC2520049,Bi1.7Pb0.3Sr2Ca0.925Sm0.075Cu3Oz,tc,75.0,K,Yes,75,,
PHC2520049,Bi1.7Pb0.3Sr2Ca1.25Sm0.75Cu3Oz,tcn,4.2,K,No,,4.2,
PHC2520049,Bi1.7Pb0.3Sr2Ca1.5Sm0.5Cu3Oz,tcn,4.2,K,No,,4.2,
PHC2520049,Bi1.7Pb0.3Sr2Ca1.7Sm0.3Cu3Oz,tcn,4.2,K,No,,4.2,
PHC2520049,Bi1.7Pb0.3Sr2Ca1.8Sm0.2Cu3Oz,tcn,4.2,K,No,,4.2,
PHC2040299,Bi1.7Pb0.3Sr2Ca1.925Sm0.075Cu3OZ,tc,86.0,K,Yes,86,,
PHC2040299,Bi1.7Pb0.3Sr2Ca1.95Sm0.05Cu3OZ,tc,88.0,K,Yes,88,,
PHC2520049,Bi1.7Pb0.3Sr2Ca1.95Sm0.05Cu3Oz,tc,76.0,K,Yes,76,,
PHC2040299,Bi1.7Pb0.3Sr2Ca1.98Sm0.02Cu3OZ,tc,110.0,K,Yes,110,,
PHC2520049,Bi1.7Pb0.3Sr2Ca1.98Sm0.02Cu3Oz,tc,105.0,K,Yes,105,,
PHC2040299,Bi1.7Pb0.3Sr2Ca1.99Sm0.01Cu3OZ,tc,111.0,K,Yes,111,,
PHC2520049,Bi1.7Pb0.3Sr2Ca1.99Sm0.01Cu3Oz,tc,107.0,K,Yes,107,,
PHC2040299,Bi1.7Pb0.3Sr2Ca1.9Sm0.1Cu3OZ,tc,85.0,K,Yes,85,,
PR0460463,Bi1.7Pb0.3Sr2Ca1Cu2O0.23,tc,75.75,K,Yes,75.75,,
PR0460463,Bi1.7Pb0.3Sr2Ca1Cu2O0.27,tc,67.6,K,Yes,67.6,,
SST0080101,Bi1.7Pb0.3Sr2Ca1Cu2O8,tc,81.0,K,Yes,81,,
PR0460463,Bi1.7Pb0.3Sr2Ca1Cu2O8+d,tc,90.4,K,Yes,90.4,,
PR0409366,Bi1.7Pb0.3Sr2Ca1Cu2OZ,tc,96.0,K,Yes,96,,
PHC2520049,Bi1.7Pb0.3Sr2Ca1Sm1Cu3Oz,tcn,4.2,K,No,,4.2,
PR05003209,Bi1.7Pb0.3Sr2Ca2Cu3F0.2O9.8,tc,111.0,K,Yes,111,,
PR05003209,Bi1.7Pb0.3Sr2Ca2Cu3F0.5O9.5,tc,113.0,K,Yes,113,,
PR05003209,Bi1.7Pb0.3Sr2Ca2Cu3F0.8O9.2,tc,117.6,K,Yes,117.6,,
PHB1651283,Bi1.7Pb0.3Sr2Ca2Cu3O10,tc,108.0,K,Yes,108,,
PR04313102,Bi1.7Pb0.3Sr2Ca2Cu3O10+Z,tc,107.0,K,Yes,107,,
PHC2160169,Bi1.7Pb0.3Sr2Ca2Cu3O10+z,tc,105.0,K,Yes,105,,
PHC1760179,Bi1.7Pb0.3Sr2Ca2Cu3OX,tc,110.0,K,Yes,110,,
PHC2040299,Bi1.7Pb0.3Sr2Ca2Cu3OZ,tc,112.0,K,Yes,112,,
PHC2520049,Bi1.7Pb0.3Sr2Ca2Cu3Oz,tc,110.0,K,Yes,110,,
PR0416541,Bi1.7Pb0.3Sr2Ca3Cu4OZ,tc,110.0,K,Yes,110,,
PHC2520049,Bi1.7Pb0.3Sr2Sm2Cu3Oz,tcn,4.2,K,No,,4.2,
MRB0422057,Bi1.7Pb0.4Sr2Ca1.1Cu2.1Nd0.1Oz,tc,83.15,K,Yes,83.15,,
MRB0422057,Bi1.7Pb0.4Sr2Ca1.1Cu2.1Nd0.2Oz,tc,87.65,K,Yes,87.65,,
MRB0422057,Bi1.7Pb0.4Sr2Ca1.1Cu2.1Nd0.3Oz,tc,88.3,K,Yes,88.3,,
MRB0422057,Bi1.7Pb0.4Sr2Ca1.1Cu2.1Nd0.4Oz,tc,87.9,K,Yes,87.9,,
MRB0422057,Bi1.7Pb0.4Sr2Ca1.1Cu2.1Nd0.5Oz,tc,85.65,K,Yes,85.65,,
MRB0422057,Bi1.7Pb0.4Sr2Ca1.1Cu2.1Oz,tc,72.2,K,Yes,72.2,,
PRB0387101,Bi1.7Sr1.3Ca2Cu3OX,tc,95.0,K,Yes,95,,
PRB0389272,Bi1.7Sr2Ca2Cu3Pb0.3OZ,tc,106.0,K,Yes,106,,
CRY0350271,Bi1.82Pb0.18Sr2Ca2Cu3O16+z,tc,102.98,K,Yes,102.98,,
P072014504,Bi1.83Pb0.19Sr1.92Cu1.06O6+z,tc,12.0,K,Yes,12,,P072014504
SSC0710819,Bi1.84Pb0.34Sr1.91Ca2.03Cu3.06OZ,tc,105.0,K,Yes,105,,
PHC1690250,Bi1.84Pb0.34Sr1.91Ca2.03Cu3OX,tc,107.0,K,Yes,107,,
PR0460463,Bi1.85Pb0.15Sr2Ca1Cu2O8+Z,tc,90.9,K,Yes,90.9,,
PR05407500,Bi1.85Pb0.35Sr2Ca2Cu3.1Oz,tc,107.0,K,Yes,107,,
SSC1010617,Bi1.8Cd0.2Sr2Ca1Cu2Oz,tc,58.0,K,Yes,58,,
SSC0810109,Bi1.8Ga0.2Sr1.8Ca1.2Cu2O8,tc,56.5,K,Yes,56.5,,
MRB1120384,Bi1.8Pb0.2Pd1,tc,4.4,K,Yes,4.4,,
SSC0750617,Bi1.8Pb0.2Sb0.1Sr2Ca2Cu2OZ,tc,136.0,K,Yes,136,,
JPC0128231,Bi1.8Pb0.2Sr1.61La0.39Cu0.99Ga0.01Oz,tc,21.8,K,Yes,21.8,,
JPC0128231,Bi1.8Pb0.2Sr1.62La0.38Cu0.98Fe0.02Oz,tc,21.1,K,Yes,21.1,,
JPC0128231,Bi1.8Pb0.2Sr1.62La0.38Cu0.98Ga0.02Oz,tc,12.0,K,Yes,12,,
JPC0128231,Bi1.8Pb0.2Sr1.63La0.37Cu0.97Fe0.03Oz,tc,13.0,K,Yes,13,,
SST0140599,Bi1.8Pb0.2Sr1.65La0.35Cu1Oz,tc,44.0,K,Yes,44,,
PHC1790405,Bi1.8Pb0.2Sr1.6La0.4Cu1O6.182,tc,13.7,K,Yes,13.7,,
SST0140599,Bi1.8Pb0.2Sr1.6La0.4Cu1Oz,tc,39.0,K,Yes,39,,
SST0140599,Bi1.8Pb0.2Sr1.7La0.3Cu1Oz,tc,39.0,K,Yes,39,,
PR05914080,Bi1.8Pb0.2Sr1.8Ca0.9Cu2OZ,tc,67.2,K,Yes,67.2,,
PHC1760445,Bi1.8Pb0.2Sr1.8Ca1Nd0.2Cu2O8.2,tc,86.0,K,Yes,86,,
PHC1760445,Bi1.8Pb0.2Sr2Ca0.8Nd0.2Cu2O8.21,tc,87.0,K,Yes,87,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.84Co0.16O8,tc,35.8,K,Yes,35.8,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.84Fe0.16O8,tc,26.1,K,Yes,26.1,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.88Co0.12O8,tc,38.8,K,Yes,38.8,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.88Fe0.12O8,tc,30.9,K,Yes,30.9,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.92Co0.08O8,tc,43.0,K,Yes,43,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.92Fe0.08O8,tc,33.8,K,Yes,33.8,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.94Co0.06O8,tc,48.6,K,Yes,48.6,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.96Co0.04O8,tc,50.7,K,Yes,50.7,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.96Fe0.04O8,tc,48.5,K,Yes,48.5,,
PR05308651,Bi1.8Pb0.2Sr2Ca1Cu1.98Fe0.02O8,tc,54.8,K,Yes,54.8,,
PHC2821415,Bi1.8Pb0.2Sr2Ca1Cu2O8,tc,92.0,K,Yes,92,,
PR0460463,Bi1.8Pb0.2Sr2Ca1Cu2O8+Z,tc,91.9,K,Yes,91.9,,
PR05514581,Bi1.8Pb0.2Sr2Ca1Cu2O8+y,tc,92.0,K,Yes,92,,
SUP0110259,Bi1.8Pb0.2Sr2Ca1Cu2O8-Z,tc,92.0,K,Yes,92,,
PR0430457,Bi1.8Pb0.2Sr2Ca2Cu3O10+Z,tc,103.0,K,Yes,103,,
PHC1690250,Bi1.8Pb0.2Sr2Ca2Cu3OX,tc,107.0,K,Yes,107,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2Cu3OZ,tc,96.0,K,Yes,96,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In0.05Cu3OZ,tc,94.0,K,Yes,94,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In0.1Cu3OZ,tc,93.5,K,Yes,93.5,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In0.25Cu3OZ,tc,93.0,K,Yes,93,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In0.2Cu3OZ,tc,91.5,K,Yes,91.5,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In0.3Cu3OZ,tc,81.0,K,Yes,81,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In0.4Cu3OZ,tc,83.0,K,Yes,83,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In0.6Cu3OZ,tc,84.0,K,Yes,84,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In1Cu3OZ,tc,85.0,K,Yes,85,,
PHC1940321,Bi1.8Pb0.2Sr2Ca2In2Cu3OZ,tc,80.0,K,Yes,80,,
PR05514581,Bi1.8Pb0.2Sr2Cu1O6+y,tc,20.0,K,Yes,20,,
PHC2200265,Bi1.8Pb0.2Sr2Y1.65Ce0.35Cu2O10+z,tc,20.0,K,Yes,20,,
P063132502,Bi1.8Pb0.38Sr2.01Cu1O6-z,tc,19.0,K,Yes,19,,
PHC2821419,Bi1.8Pb0.3Sr1.9Cu1OZ,tc,4.7,K,Yes,4.7,,
PR05714470,Bi1.8Pb0.3Sr1.9CuOy,tc,4.7,K,Yes,4.7,,
SSC1080613,Bi1.8Pb0.3Sr2Ca2Cu2.91V0.09Oz,tc,105.55,K,Yes,105.55,,
SSC1080613,Bi1.8Pb0.3Sr2Ca2Cu2.94V0.06Oz,tc,106.95,K,Yes,106.95,,
SSC1080613,Bi1.8Pb0.3Sr2Ca2Cu2.97V0.03Oz,tc,106.6,K,Yes,106.6,,
PR05108551,Bi1.8Pb0.3Sr2Ca2Cu3O10,tc,109.0,K,Yes,109,,
SSC1080613,Bi1.8Pb0.3Sr2Ca2Cu3Oz,tc,106.35,K,Yes,106.35,,
JJP0291396,Bi1.8Pb0.4Sr1.85Ca2.05Cu3O10.26,tc,107.0,K,Yes,107,,
PHC2610196,Bi1.8Pb0.4Sr1.9Ca2Cu3Oz,tc,110.0,K,Yes,110,,
PR0463195,Bi1.8Pb0.4Sr2Ca2.2Cu3OZ,tc,107.5,K,Yes,107.5,,
PR05101397,Bi1.8Pb0.4Sr2Ca2Cu3O10+d,tc,104.0,K,Yes,104,,
JCG2290396,Bi1.8Sr1.1Nd0.7Cu1Oz,tc,20.0,K,Yes,20,,
PHC2460297,Bi1.8Sr2Ca1Cu2Li0.4Oz,tc,94.1,K,Yes,94.1,,
PRB0389272,Bi1.8Sr2Ca2Cu3OZ,tc,95.0,K,Yes,95,,
PRB0389272,Bi1.8Sr2Ca2Cu3Pb0.6OZ,tc,104.0,K,Yes,104,,
JP00901105,Bi1.8V0.2Sr2Ca2Cu3O2,tc,112.0,K,Yes,112,,
P072014504,Bi1.91Sr1.69La0.4Cu0.98O6+z,tc,16.0,K,Yes,16,,P072014504
P072014504,Bi1.93Sr1.85La0.23Cu0.99O6+z,tc,15.0,K,Yes,15,,P072014504
PR0416418,Bi1.95Pb0.15Sr1.9Cu1OY,tc,6.4,K,Yes,6.4,,
PHC2250173,Bi1.95Sr1.25La0.8Cu1O4,tc,19.0,K,Yes,19,,
PHC2250173,Bi1.95Sr1.25Pr0.8Cu1O4,tc,17.0,K,Yes,17,,
SST0090297,Bi1.95Sr1.45La0.6Ca1O6+z,tc,25.0,K,Yes,25,,
PHC2250173,Bi1.95Sr1.45La0.6Cu1O4,tc,24.0,K,Yes,24,,
PHC2250173,Bi1.95Sr1.45Nd0.6Cu1O4,tc,18.0,K,Yes,18,,
PHC2250173,Bi1.95Sr1.45Pr0.6Cu1O4,tc,22.0,K,Yes,22,,
SST0090297,Bi1.95Sr1.45Pr0.6Cu1O6+z,tc,20.1,K,Yes,20.1,,
