db_label,count,property_name,unique property_unit,data_type,category,rubric,prompt,claude,SI,description
dcdp,22,pressure dependence of LATC,"k0/GPa, (GPa)^(-1), E-3 /GPa, A/GPa, /GPa, %/GPa, (dL/L)/GPa",Float,Structural,0.1% SI,"What is the SI unit for pressure dependence of LATC? Equivalent units are: k0/GPa, (GPa)^(-1), E-3 /GPa, A/GPa, /GPa, %/GPa, (dL/L)/GPa",Loading...,1/Pa,pressure dependence of LATC
ncohere,283,coherence length at 0 K for single crystal for H ���ab-plane,"A, nm",Float,Structural,0.1% SI,"What is the SI unit for coherence length at 0 K for single crystal for H ���ab-plane? Equivalent units are: A, nm","The SI unit for coherence length at 0 K for a single crystal in the H ∥ ab-plane would be **meter (m)**.

Since coherence length is a measure of distance over which superconducting order parameter remains relatively constant, its fundamental dimension is length.

In superconductivity research, this is commonly expressed in:
- Nanometers (nm), which equals 10^-9 meters
- Angstroms (Å), which equals 10^-10 meters

Both of these units (nm and Å) are acceptable alternatives that are frequently used in scientific literature when discussing superconducting coherence lengths, but the base SI unit remains the meter.",1/Pa,coherence length at 0 K for single crystal for H ⊥ab plane
abreshe,45,resistivity at 4.2 K for single crystal for J//ab-plane,"uOhm.cm, mOhm.cm, microohmcm, mic.ohm.cm, m.ohm.cm, mohmcm",Float,electronic,0.1% SI,"What is the SI unit for resistivity at 4.2 K for single crystal for J//ab-plane? Equivalent units are: uOhm.cm, mOhm.cm, microohmcm, mic.ohm.cm, m.ohm.cm, mohmcm",Loading...,m,resistivity at 4.2K for single crystal for J//ab plane
creshe,10,resistivity at 4.2 K for single crystal for J//c-axis,"uOhm.cm, mOhm.cm, m.ohm.cm, mohmcm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at 4.2 K for single crystal for J//c-axis? Equivalent units are: uOhm.cm, mOhm.cm, m.ohm.cm, mohmcm",Loading...,ohm.m,resistivity at 4.2K for single crystal for J//c-axis
npenet,134,penetration depth at 0 K for single crystal for H���ab-plane,"micron m, A, um, micron.m, nm, micron-m, micron. M, microm",Float,Electronic,0.1% SI,"What is the SI unit for penetration depth at 0 K for single crystal for H���ab-plane? Equivalent units are: micron m, A, um, micron.m, nm, micron-m, micron. M, microm","The SI unit for penetration depth at 0 K for a single crystal for H⊥ab-plane would be meters (m).

Of the equivalent units you listed:
- micron or μm (micrometer) = 10^-6 m
- Å (Angstrom) = 10^-10 m
- nm (nanometer) = 10^-9 m

Some of the notations in your list appear to be variations or typographical representations of the same units:
- ""micron m"", ""micron.m"", ""micron-m"", ""microm"" seem to be attempts to write ""micrometer"" or ""μm""
- ""micron. M"" appears to be a typographical variation

In scientific literature dealing with superconductors, the penetration depth (often denoted as λ) is typically reported in nanometers (nm) or micrometers (μm) because these are convenient scales for the phenomenon, but the fundamental SI unit remains the meter.",ohm.m,penetration depth at 0 K for single crystal for H⊥ab plane
pdhc2dt,312,-slope in Hc2 vs T at Tc for single crystal for H //ab-plane,"T/K, kOe/K, Oe/K, KOe/K, K/kOe",Float,,0.1% SI,"What is the SI unit for -slope in Hc2 vs T at Tc for single crystal for H //ab-plane? Equivalent units are: T/K, kOe/K, Oe/K, KOe/K, K/kOe",Loading...,m,-slope in Hc2 vs T at Tc for single crystal for H //ab plane
ndhc2dt,326,-slope in Hc2 vs T at Tc for single crystal for H //c-axis,"T/K, kOe/K, Oe/K, KOe/K, K/kOe",Float,Electronic,0.1% SI,"What is the SI unit for -slope in Hc2 vs T at Tc for single crystal for H //c-axis? Equivalent units are: T/K, kOe/K, Oe/K, KOe/K, K/kOe","The SI unit for the negative slope of $H_{c2}$ versus $T$ at $T_c$ (where $H_{c2}$ is the upper critical field and $T$ is temperature) for a single crystal with magnetic field parallel to the c-axis would be tesla per kelvin (T/K).

Among the options you've provided:
- T/K is the correct SI unit
- kOe/K (kiloOersted per kelvin) is a cgs unit equivalent
- Oe/K (Oersted per kelvin) is a cgs unit
- KOe/K appears to be a typo of kOe/K
- K/kOe is the inverse of the slope (and not in SI units)

The conversion between these units would be:
1 T = 10 kOe = 10,000 Oe

So the slope expressed in T/K can be converted to kOe/K by multiplying by 10.",T/K,-slope in Hc2 vs T at Tc for single crystal for H //c-axis
pcohere,435,coherence length at 0 K for single crystal for H //ab-plane,"A, nm",Float,Electronic,0.1% SI,"What is the SI unit for coherence length at 0 K for single crystal for H //ab-plane? Equivalent units are: A, nm",Loading...,T/K,coherence length at 0 K for single crystal for H //ab plane
phc1zero,77,Hc1 at 0 K for single crystal for H //ab-plane,"Oe, mT",Float,Electronic,0.1% SI,"What is the SI unit for Hc1 at 0 K for single crystal for H //ab-plane? Equivalent units are: Oe, mT",Loading...,A,Hc1 at 0 K for single crystal for H //ab plane
nhc1zero,94,Hc1 at 0 K for single crystal for H //c-axis,"Oe, mT, A",Float,Electronic,0.1% SI,"What is the SI unit for Hc1 at 0 K for single crystal for H //c-axis? Equivalent units are: Oe, mT, A","The SI unit for the first critical magnetic field (Hc1) at 0 K for a single crystal with the magnetic field aligned parallel to the c-axis (H//c-axis) is:

**A/m (amperes per meter)**

This is the standard SI unit for magnetic field strength (H).

The equivalent units you mentioned can be converted as follows:

- Oe (oersted): 1 A/m = 4π × 10^-3 Oe (or approximately 0.01256 Oe)
- mT (millitesla): This is actually a unit of magnetic flux density (B), not field strength (H). In vacuum, 1 A/m corresponds to 4π × 10^-7 T = 1.256 × 10^-6 T = 0.001256 mT
- A (ampere): This is incomplete as a magnetic field unit. You likely meant A/m.

In superconductivity research, while A/m is the proper SI unit, many researchers still use Oe or gauss (G) due to historical conventions in the field.",T,Hc1 at 0 K for single crystal for H //c-axis
thc300,88,thermal conductivity at 300 K,"W/m.K, W/K.m, mW/cm.K, W/K.M, Wm-1K-1",Float,Electronic,0.1% SI,"What is the SI unit for thermal conductivity at 300 K? Equivalent units are: W/m.K, W/K.m, mW/cm.K, W/K.M, Wm-1K-1","The SI unit for thermal conductivity at 300 K is watts per meter-kelvin (W/m·K) or equivalently, W·m⁻¹·K⁻¹.

Among the options you've listed, the following are equivalent to the SI unit:
- W/m·K
- W·m⁻¹·K⁻¹

Note that W/K·m is technically the same unit, just with a different order of writing the denominator terms.

The unit mW/cm·K is not an SI unit but rather a derived unit that would need to be converted to W/m·K.

The unit W/K·M appears to have a capital M, which is not standard notation (M typically represents mega or 10⁶, while m represents meter).",T,thermal conductivity at 300K
jc77,54,"Jc at T = 77 K, H = 0 T",#N/A,Double,Electronic,0.1% SI,#N/A,,W/m.K,"Jc at T=77K,H=0T"
ye300,55,Young's modulus at 300 K,GPa,Double,Electronic,0.1% SI,What is the SI unit for Young's modulus at 300 K? Equivalent units are: GPa,Loading...,ohm.m,Young's modulus at 300K
g300,54,shear modulus at 300 K,GPa,Float,,0.1% SI,What is the SI unit for shear modulus at 300 K? Equivalent units are: GPa,"The SI unit for shear modulus is the pascal (Pa). At 300 K or any temperature, the fundamental unit remains the pascal.

Since you mentioned equivalent units as GPa (gigapascals), I can confirm that:

1 GPa = 10^9 Pa

For practical engineering and materials science applications, shear modulus values are indeed commonly expressed in GPa because typical values for solid materials fall in the range of a few to hundreds of GPa. For example:
- Steel: ~80 GPa
- Aluminum: ~25-35 GPa
- Copper: ~45 GPa

However, the base SI unit remains the pascal (Pa).",Pa,shear modulus at 300K
po300,42,Poisson ratio at 300 K,#N/A,Float,#N/A,0.1% SI,#N/A,,Pa,Poisson ratio at 300K
hv300,20,hardness at 300 K,"GPa, kg/mm2",Float,#N/A,0.1% SI,"What is the SI unit for hardness at 300 K? Equivalent units are: GPa, kg/mm2","The SI (International System of Units) doesn't actually have a specific base unit for hardness. Hardness is not a fundamental physical property like mass or length, but rather a composite property that measures a material's resistance to various kinds of deformation.

Different hardness testing methods (Vickers, Brinell, Rockwell, etc.) use different scales and units. When expressing hardness in SI-compatible units:

- For indentation hardness, pascals (Pa) or more commonly gigapascals (GPa) are used, which are pressure units (N/m²)
- The kg/mm² unit you mentioned is a non-SI unit that is sometimes used (particularly in older literature)

The temperature specification of 300 K doesn't change the unit itself, though hardness values can certainly vary with temperature for many materials.

So while GPa would be the closest to an ""SI unit"" for hardness, there isn't a singular official SI unit designated specifically for hardness.",,hardness at 300K
cresrt,117,resistivity at RT for single crystal for J//c-axis,"mOhm, uOh.cm, mOhm.cm, m.ohm.cm, uOhm.cm, mic.ohm.cm, mohmmm, ohmcm, mOHM, 10-4ohmcm, Ohmcm, mohmcm",Float,,0.1% SI,"What is the SI unit for resistivity at RT for single crystal for J//c-axis? Equivalent units are: mOhm, uOh.cm, mOhm.cm, m.ohm.cm, uOhm.cm, mic.ohm.cm, mohmmm, ohmcm, mOHM, 10-4ohmcm, Ohmcm, mohmcm",Loading...,,resistivity at RT for single crystal for J//c-axis
res77,283,resistivity at 77 K for poly crystal,"uOhm.cm, m.ohm.cm, ohm.cm, Ohm.m, mOhm.cm, mic.ohm.cm, mohmcm, mOhmcm, m-ohmcm, mOHM, ohmcm, mOHMcm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at 77 K for poly crystal? Equivalent units are: uOhm.cm, m.ohm.cm, ohm.cm, Ohm.m, mOhm.cm, mic.ohm.cm, mohmcm, mOhmcm, m-ohmcm, mOHM, ohmcm, mOHMcm",Loading...,ohm.m,resistivity at 77K for poly crystal
sv300,26,sound velocity at 300 K,m/s,Double,Electronic,0.1% SI,What is the SI unit for sound velocity at 300 K? Equivalent units are: m/s,Loading...,ohm.m,sound velocity at 300K
ghe,7,shear modulus at 4.2 K,GPa,Float,,0.1% SI,What is the SI unit for shear modulus at 4.2 K? Equivalent units are: GPa,Loading...,m/s,shear modulus at 4.2K
nhc1t,20,Hc1 at given temperature for single crystal H//c-axis,"mT, Oe",Float,#N/A,0.1% SI,"What is the SI unit for Hc1 at given temperature for single crystal H//c-axis? Equivalent units are: mT, Oe",Loading...,Pa,Hc1 at given temperature for single crystal H//c-axis
cresn,64,resistivity at normal-T for single crystal for J//c-axis,"uOhm.cm, mOhm.cm, m.ohm.cm, mohmmm, mOHM, ohmcm, 10-4ohmcm, mohmcm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at normal-T for single crystal for J//c-axis? Equivalent units are: uOhm.cm, mOhm.cm, m.ohm.cm, mohmmm, mOHM, ohmcm, 10-4ohmcm, mohmcm","The SI unit for resistivity at normal temperature for a single crystal with current flow parallel to the c-axis is the ohm meter (Ω⋅m).

From the equivalent units you listed, here are their relationships to the SI unit:

- μΩ⋅cm (micro-ohm centimeter) = 10⁻⁸ Ω⋅m
- mΩ⋅cm (milli-ohm centimeter) = 10⁻⁵ Ω⋅m
- m⋅ohm⋅cm = 10⁻⁵ Ω⋅m (same as mΩ⋅cm)
- mohmmm (milli-ohm millimeter) = 10⁻⁶ Ω⋅m
- mOHM (when used for resistivity with implied dimensions) = context dependent
- ohmcm (ohm centimeter) = 10⁻² Ω⋅m
- 10⁻⁴ohmcm = 10⁻⁶ Ω⋅m
- mohmcm (milli-ohm centimeter) = 10⁻⁵ Ω⋅m

In scientific publications, resistivity values are often reported in μΩ⋅cm or mΩ⋅cm for materials with relatively low resistivity, but the proper SI unit is always Ω⋅m.",T,resistivity at normal-T for single crystal for J//c-axis
yehe,6,Young's modulus at 4.2 K,GPa,Double,Electronic,0.1% SI,What is the SI unit for Young's modulus at 4.2 K? Equivalent units are: GPa,Loading...,ohm.m,Young's modulus at 4.2K
pohe,6,Poisson ratio at 4.2 K,#N/A,Float,#N/A,0.1% SI,#N/A,,Pa,Poisson ratio at 4.2K
dadt,12,temperature dependence of LATA,"(dl/dT)/l, K^(-1), A/Ma, A/GPa, A/T, E-6%",Float,#N/A,0.1% SI,"What is the SI unit for temperature dependence of LATA? Equivalent units are: (dl/dT)/l, K^(-1), A/Ma, A/GPa, A/T, E-6%",Loading...,,temperature dependence of LATA
dcdt,11,temperature dependence of LATC,"(dl/dT)/l, A/Ma, A/GPa, A/T, E-6%",Float,Electronic,0.1% SI,"What is the SI unit for temperature dependence of LATC? Equivalent units are: (dl/dT)/l, A/Ma, A/GPa, A/T, E-6%",Loading...,m/Pa,temperature dependence of LATC
dbdp,8,pressure dependence of LATB,"E-3 /GPa, %/GPa, (dL/L)/GPa",Float,Electronic,0.1% SI,"What is the SI unit for pressure dependence of LATB? Equivalent units are: E-3 /GPa, %/GPa, (dL/L)/GPa",Loading...,m/Pa,pressure dependence of LATB
thc300n,7,thermal conductivity at 300 K for heat flow//c-axis,W/m.K,Float,Structural,0.1% SI,What is the SI unit for thermal conductivity at 300 K for heat flow//c-axis? Equivalent units are: W/m.K,Loading...,1/Pa,thermal conductivity at 300K for heat flow//c-axis
thc300p,8,thermal conductivity at 300 K for heat flow//ab-plane,"W/m.K, W/K.m",Float,Electronic,0.1% SI,"What is the SI unit for thermal conductivity at 300 K for heat flow//ab-plane? Equivalent units are: W/m.K, W/K.m",Loading...,W/m.K,thermal conductivity at 300K for heat flow//ab-plane
rh300p,8,"Hall coefficient at 300 K for single, H//ab-plane","cm3/C, m3/C",Double,Electronic,0.1% SI,"What is the SI unit for Hall coefficient at 300 K for single, H//ab-plane? Equivalent units are: cm3/C, m3/C",Loading...,W/m.K,"Hall coefficient at 300K for single, H//ab-plane"
svhe,2,sound velocity at 4.2 K,#N/A,Double,Electronic,0.1% SI,#N/A,,m^3/C,sound velocity at 4.2K
rh300n,25,"Hall coefficient at 300 K for single, H//c-axis","m3/C, mic. Ohm c, cm3/C",Double,#N/A,0.1% SI,"What is the SI unit for Hall coefficient at 300 K for single, H//c-axis? Equivalent units are: m3/C, mic. Ohm c, cm3/C",Loading...,m/s,"Hall coefficient at 300K for single, H//c-axis"
phc1t,16,Hc1 at given temperature for single crystal H//ab-plane,"Oe, mT",Float,Electronic,0.1% SI,"What is the SI unit for Hc1 at given temperature for single crystal H//ab-plane? Equivalent units are: Oe, mT",Loading...,m^3/C,Hc1 at given temperature for single crystal H//ab-plane
abres77,157,resistivity at 77 K for single crystal for J//ab-plane,"mic.ohm.cm, m.ohm.cm, ohm.cm, m-ohmcm, mohmcm, 10-4ohmcm, uohmcm, uOhm.cm, Ohmcm, mOhm.cm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at 77 K for single crystal for J//ab-plane? Equivalent units are: mic.ohm.cm, m.ohm.cm, ohm.cm, m-ohmcm, mohmcm, 10-4ohmcm, uohmcm, uOhm.cm, Ohmcm, mOhm.cm",Loading...,T,resistivity at 77K for single crystal for J//ab plane
cres77,42,resistivity at 77 K for single crystal for J//c-axis,"mic.ohm.cm, m.ohm.cm, 10-4ohmcm, Ohmcm, mohmcm",Float,Electronic,0.1% SI,"What is the SI unit for resistivity at 77 K for single crystal for J//c-axis? Equivalent units are: mic.ohm.cm, m.ohm.cm, 10-4ohmcm, Ohmcm, mohmcm","The SI unit for resistivity is ohm-meter (Ω·m).

When discussing the resistivity at 77 K for a single crystal with current density along the c-axis (J//c-axis), the measurement would still be expressed in Ω·m in SI units.

From the equivalent units you've listed, here's how they relate to the SI unit:
- μΩ·cm (mic.ohm.cm) = 10^-8 Ω·m
- mΩ·cm (m.ohm.cm or mohmcm) = 10^-5 Ω·m
- 10^-4 Ω·cm = 10^-6 Ω·m
- Ω·cm (Ohmcm) = 10^-2 Ω·m

So the SI unit for resistivity, regardless of temperature or crystal orientation, is ohm-meter (Ω·m).",ohm.m,resistivity at 77K for single crystal for J//c-axis
dbdt,5,temperature dependence of LATB,A/GPa,Float,Electronic,0.1% SI,What is the SI unit for temperature dependence of LATB? Equivalent units are: A/GPa,Loading...,ohm.m,temperature dependence of LATB
