paper,material,property_name,property_value,property_unit,definition
Paper_11,LaRu2P2,transition temperature (mid point),3.7,K,Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the The value of the residual resistivity is much smaller than that in 122 iron-based superconductors. The critical temperature determined from the midpoint of the resistive transition is 3.7 K. The 10–90% width in zero ﬁeld is 0.1 K as shown in the upper inset of ﬁgure 1.
Paper_12,PbBi2Te4,transition temperature (mid point),2.5,K,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi The thermoelectric properties of the PbBi2Te4 sample were measured at ambient pressure and the electrical resistance was also evaluated under high pressure using a diamond anvil cell with boron-doped diamond electrodes. The resistance decreased with increasing of the pressure, and pressure-induced superconducting transitions were discovered at 2.5 K under 10 GPa."
Paper_12,PbBi2Te4,transition temperature (mid point),2.5,K,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi The resistance decreased with increasing of the pressure, and pressure-induced superconducting transitions were discovered at 2.5 K under 10 GPa. The maximum superconducting transition temperature increased up to 8.4 K at 21.7 GPa."
Paper_12,SnBi2Se4,transition temperature (mid point),5.4,K,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi Experimentally, a single crystal of SnBi2Se4 exhibited an insulator-to-metal transition under 11 GPa [6], in a good agreement with the theoretical prediction. Moreover, a pressure-induced superconductivity was observed with maximum superconducting transition temperature (Tc) of 5.4 K under 63 GPa in accordance with our scenario."
Paper_12,PbBi2Te4,transition temperature (mid point),7.9,K,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi The Tc onset was enhanced from 3.4 K under 13.3 GPa to 8.1 K under 18.0 GPa. In the higher pressure region, the maxi- mum Tc onset and Tc zero were 8.4 K and 7.9 K under 21.7 GPa, respectively."
Paper_12,PbBi2Te4,transition temperature (mid point),3.4,K,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi After that, the ﬁrst superconducting phase was newly discovered under 10.0 GPa. In a higher pressure region above 18.0 GPa, we observed a Tc jump from 3.4 K to 8.4 K. The Tc jump indicates a possibility of appearance of sec- ond superconducting phase."
Paper_14,YBa2Cu3O6.92,transition temperature (mid point),11,K,"Anisotropic Hall mobility in slightly overdoped YBa2Cu3O6.92 from magnetoresistance and Hall-coefﬁcient measurements I. Terasaki, Y. Sato, and S. Tajima Superconductivity Research Laboratory, International Superconductivity Technology Center, 1-10-13 Shinonome, Koto-ku, Tokyo 135, Japan for single-crystal YBa 2Cu 3O 6.92 . 15 302 55 I. TERASAKI, Y. SATO, AND S. TAJIMA 11K."
Paper_14,YBa2Cu3O6.92,transition temperature (mid point),92,K,"Anisotropic Hall mobility in slightly overdoped YBa2Cu3O6.92 from magnetoresistance and Hall-coefﬁcient measurements I. Terasaki, Y. Sato, and S. Tajima Superconductivity Research Laboratory, International Superconductivity Technology Center, 1-10-13 Shinonome, Koto-ku, Tokyo 135, Japan B. Pippard, Magnetoresistance in Metals ~Cambridge Univer- sity Press, Cambridge, England, 1989!. 16The observed positive MR at 92 K is believed to come from the Zeeman effect on SF-induced MR. See A. G. Aronov, S. Hikami, and A. I. Larkin, Phys."
Paper_15,La2CuO4,transition temperature (mid point),20–25,K,"Thermal conductivity of lightly Sr- and Zn-doped La2CuO4 single crystals X. F. Sun,* J. Takeya, Seiki Komiya, and Yoichi Ando† Central Research Institute of Electric Power Industry, Komae, Tokyo 201-8511, Japan ~Received 20 May 2002; revised manuscript received 11 September 2002; published 4 March 2003! Both ab-plane and c-axis thermal conductivities (kab and kc) of lightly doped La22xSrxCuO4 ~LSCO! and Since the nonuniform charge distribution is expected to in- duce variations of the local crystal structure,1,4 which disturb phonons, the phonon heat transport is expected to be a good tool capable of detecting the inﬂuence of stripes even in the charge-localized region. insulating compound La2CuO4 shows predominant phonon transport at low temperatures, which is manifested in a large phonon peak at 20–25 K in the temperature dependence of both ab-plane and c-axis thermal conductivities (kab and kc);18 such phonon peak disappears in Sr-doped La22xSrxCuO4 ~LSCO!"
Paper_15,La2CuO4,transition temperature (mid point),240,K,"Thermal conductivity of lightly Sr- and Zn-doped La2CuO4 single crystals X. F. Sun,* J. Takeya, Seiki Komiya, and Yoichi Ando† Central Research Institute of Electric Power Industry, Komae, Tokyo 201-8511, Japan ~Received 20 May 2002; revised manuscript received 11 September 2002; published 4 March 2003! Both ab-plane and c-axis thermal conductivities (kab and kc) of lightly doped La22xSrxCuO4 ~LSCO! and Figure 3 summarizes the doping dependences of the size of the high-T peak in kab(T) @deﬁned by the difference between the peak value and kab(100 K)], as well as those of the Ne´el temperature TN , for the two systems. It is useful to note that the disorder in the Ne´el state induced by Sr doping appears to be detrimental to the mag- non heat transport, because the magnon peak completely dis- appears at x50.01 even though the Ne´el order is still estab- lished at 240 K for this Sr doping."
Paper_2,β-IrSn4,transition temperature (mid point),0.9,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the Matter 25 (2013) 155701 (8pp) doi:10.1088/0953-8984/25/15/155701 Observation of superconductivity in the intermetallic compound β-IrSn4 Vinh Hung Tran, Zbigniew Bukowski, Piotr Wi´sniewski, Lan Maria Tran and Andrzej J Zaleski Institute of Low Temperature and Structure Research, Polish Academy of Sciences, PO Box 1410, 50-950 Wrocław, Poland E-mail: V.H.Tran@int.pan.wroc.pl Received 4 January 2013, in ﬁnal form 18 February 2013 Published 25 March 2013 Online at stacks.iop.org/JPhysCM/25/155701 Abstract Low-temperature dc-magnetization, ac electrical resistivity and speciﬁc heat measurements were performed on single crystals of the intermetallic compound β-IrSn4. The compound crystallizes in the tetragonal MoSn4-type structure (space group I41/acd) and exhibits superconductivity below Tc = 0.9 ± 0.05 K. Further, the magnitude of the ratios 1Cp/(γnkBTc) = 1.29, 21/(kBTc) = 3.55 and of the electron–phonon coupling λe−ph = 0.5 imply that superconductivity in β-IrSn4 can be ascribed to a s-wave weak coupling regime."
Paper_2,β-IrSn4,transition temperature (mid point),0.9,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the The bottom panel is the powder x-ray diffraction pattern (small circle symbols) compared to a single crystal diffraction pattern (solid line) obtained using an x-ray beam perpendicular to the 00l plane. ducting with a transition temperature Tc of 0.9 ± 0.05 K. Although the zero-ﬁeld data characterize β-IrSn4 well as a s-wave weakly coupled type-I superconductor in a dirty limit, from an estimation of some thermodynamic parameters we arrive at a conclusion that superconductivity in β-IrSn4 can be ascribed to a type-II superconductor in a clean limit with an assumption of a non-spherical Fermi surface."
Paper_2,β-IrSn4,transition temperature (mid point),0.9,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the In order to get some information on the strength of the electron–phonon coupling we estimate the average electron–phonon coupling constant ¯λe–ph using the McMillan equation [14]: ¯λe–ph = 1.04 + µ∗ln(2D/1.45Tc) (1 −0.62µ∗) ln(2D/1.45Tc) −1.04 (2) where µ∗is the Coulomb pseudopotential, usually assumed to be between 0.1 and 0.15 [14, 15]. For µ∗= 0.15, 2D = 221 K and Tc ≈0.9 K, equation (2) yields ¯λe–ph = 0.5, suggestive of a weak electron–phonon coupling in β-IrSn4."
Paper_2,β-IrSn4,transition temperature (mid point),0.85,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the The solid line presents the exponential function given by the BCS theory Cel(T) = AγnTc exp(−10/kBT), with A = 12.8 and 10/kB = 1.51 K. The bulk nature of superconductivity in β-IrSn4 is evidenced by a clear peak in the Cp(T)/T dependence. The critical temperature Tc = 0.85 K, taken as the middle point of the 1Cp(T)/T jump, agrees fairly with that deduced from the resistivity."
Paper_2,β-IrSn4,transition temperature (mid point),0.94,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the A similar behavior has been observed in the type-I superconductors (Sc, Lu)Ga3 [4] and LaRhSi3 [7], thus strongly supporting a type-I superconductivity in β-IrSn4. Second, perhaps most surprisingly, the critical temperature increases a little, up to 0.94 K, on the application of a ﬁeld of 1.5 mT."
Paper_2,β-IrSn4,transition temperature (mid point),0.9,K,Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the For µ0Hc c = 8.1 mT this results as ξab = 206 nm. Discussion and conclusions The ﬁrst picture which emerges from our measurements on single crystals of β-IrSn4 is that this binary intermetallic compound becomes superconducting below 0.9 ± 0.05 K. The zero-ﬁeld data listed in table 1 are in accordance with the conventional s-wave singlet pairing mechanism and would also provide a hint of either the type-I or type-II/1 superconductivity with a weak electron–phonon coupling.
Paper_2,β-IrSn4,transition temperature (mid point),0.9,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the Thermodynamic parameters of the superconductor β-IrSn4: critical temperature Tc, critical ﬁeld µ0Hc0(0), electron–phonon coupling constant ¯λe–ph, Maki parameter αM, electronic heat coefﬁcient γn, lattice heat coefﬁcient β, speciﬁc heat jump 1Cp/γnTc, superconducting energy gap ratio 210/kBTc, Fermi wavevector kF, effective masses of superconducting carriers m∗. Tc (K) 0.9 ± 0.05 µ0Hc0(0) (mT) 5.8 ± 0.1 αM 5.3 × 10−3 ¯λe–ph 0.5 ± 0.05 γn (mJ mol−1 K−2) 5.2 ± 0.2 β (mJ mol−1 K−4) 0.91 ± 0.15 1Cp/γnTc 1.3 ± 0.1 210/kBTc 3.55 ± 0.05 kF (×109 m−1) 4.7 ± 0.5 m∗(me) 3.1 ± 0.3 Fermi surface is expected."
Paper_2,AuSn4,transition temperature (mid point),2.4,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the Thus, we are dealing with the fact that both RKW and the effective mass of ∼3 me are enhanced in β-IrSn4. Finally, an interesting outcome is obtained from comparison of the studied compound with the intermetallic compound AuSn4, which was previously reported to undergo a superconducting transition at Tc = 2.4 K [26, 27]."
Paper_2,β-IrSn4,transition temperature (mid point),0.9,K,"Journal of Physics: Condensed Matter PAPER Observation of superconductivity in the To summarize, we have grown single crystals of inter- metallic compound β-IrSn4, crystallizing in the tetragonal MoSn4-type structure. We found a superconducting transition Tc(0T) = 0.9 ± 0.05 K and an upper critical magnetic ﬁeld µ0Hc2(0) ∼8 mT."
Paper_3,Mo2C,transition temperature (mid point),2.86,K,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, Figure 4b shows the temperature dependence of the exponent α. Below Tc, α(T) increases from unity, growing rapidly below 2.8 K. We identify the temperature T = 2.86 K at which the exponent α reaches a value of 3 as the BKT transition temperature TBKT."
Paper_3,Mo2C,transition temperature (mid point),2.86,K,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, The solid blue line corresponds to the V∝I3 behaviour expected at the BKT transition. As indicated by the red dashed line, α approaches 3 at T =2.86 K. c, Temperature dependence of the resistance."
Paper_3,α-Mo2C,transition temperature (mid point),2.85,K,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, As indicated by the red dashed line, α approaches 3 at T =2.86 K. c, Temperature dependence of the resistance. The blue line is a ﬁt to the expected BKT transition, yielding TBKT ≈2.85 K. 0.0 2 3 4 5 0.2 0.4 Rs/R10 K 0.6 0.8 1.0 1.2 8.3 nm 7.5 nm 5.1 nm 3.4 nm 0 0 100 200 300 30 60 90 a b T (K) T (K) Rs (Ω −1) 140 144 148 152 c 8.7 10 100 9.0 9.3 G (mS) 0 100 200 300 T (K) T (K) Rs (Ω −1) Figure 5 | Thickness dependence of superconductivity of 2D ultrathin α-Mo2C crystals."
Paper_3,Mo2C,transition temperature (mid point),2.85,K,"ARTICLES PUBLISHED ONLINE: 17 AUGUST 2015 | DOI: 10.1038/NMAT4374 Large-area high-quality 2D ultrathin Mo2C superconducting crystals Chuan Xu1†, Libin Wang2†, Zhibo Liu1, Long Chen1, Jingkun Guo2, Ning Kang2*, Xiu-Liang Ma1, NATURE MATERIALS | VOL 14 | NOVEMBER 2015 | www.nature.com/naturematerials 1139 © 2015 Macmillan Publishers Limited. All rights reserved ARTICLES NATURE MATERIALS DOI: 10.1038/NMAT4374 the BKT model as given in equation (1), yielding TBKT ≈2.85 K, which is in good agreement with the value extracted from the nonlinear V(I) characteristics."
Paper_4,HfRhSi,transition temperature (mid point),2.2,K,"L Journal of Alloys and Compounds 298 (2000) 51–58 www.elsevier.com/locate/jallcom Magnetism and transport properties of HfMSi (M5Pt, Pd) and HfRh Both compounds are metallic and show diamagnetic behavior below 300 K. A small effective electron mass is thought to be a reason for the diamagnetism of HfMSi (M5Pt or Pd). In the HfRh Pd Si system, the 12x x superconductivity of HfRhSi (T 52.2 K) is suppressed by replacing Rh by Pd."
Paper_4,HfRhSi,transition temperature (mid point),2.3,K,"L Journal of Alloys and Compounds 298 (2000) 51–58 www.elsevier.com/locate/jallcom Magnetism and transport properties of HfMSi (M5Pt, Pd) and HfRh Although these compounds 3 4 4 ductors in borocarbide systems that contain rare earth and were not superconductors, superconductivity with a transi- transition metal elements. If a new high-T superconductor tion temperature of 2.3 K has been reported for HfRhSi by c is discovered in an intermetallic system, superconductivity Shirotani et al."
Paper_4,HfRhSi,transition temperature (mid point),52.2,K,"L Journal of Alloys and Compounds 298 (2000) 51–58 www.elsevier.com/locate/jallcom Magnetism and transport properties of HfMSi (M5Pt, Pd) and HfRh In the HfRh Pd Si system, the [6] Y. Nagata, K. Sodeyama, S. Yashiro, H. Sasaki, H. Samata, T. 12x x Uchida, M.D. 281 (1998) 112. superconductivity of HfRhSi (T 52.2 K) is suppressed by c [7] I. Shirotani, Y. Konno, Y. Okada, C. Sekine, S. Todo, T. Yagi, Solid the substitution of Pd for Rh."
Paper_6,Sr0.4Ca13.6Cu24O411d,transition temperature (mid point),13,K,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto We studied structural and electrical properties under high pressure and low temperature for a S51/2 Heisen- berg two-leg ladder compound Sr0.4Ca13.6Cu24O411d. It showed a superconducting transition above 3 GPa with a maximum Tc of 13 K. The Sr0.4Ca13.6Cu24O411d phase survives at least up to 9 GPa and down to 7 K without decomposition or phase transition, indicating that it is responsible for the observed superconductivity."
Paper_6,Sr0.4Ca13.6Cu24O41.84,transition temperature (mid point),12,K,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto Though Sr14Cu241yO411d shows semiconducting behav- ior, resistivity decreases with Ca substitution for Sr.36–39 Re- cently, Uehara et al. succeeded in preparing a highly Ca- substituted phase Sr0.4Ca13.6Cu24O41.84 under high oxygen pressure and reported that it shows superconductivity with the maximum Tc of 12 K near 3 GPa.40 Their sensational report seems to prove the theoretical prediction on the spin- ladder system."
Paper_6,Sr0.4Ca13.6Cu24O41,transition temperature (mid point),9,K,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto 11, which shows almost linear temperature dependence. Superconducting transition appeared around 9 K at 3 GPa."
Paper_6,Sr0.4Ca13.6Cu24O41,transition temperature (mid point),160,K,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto At ambient pressure, the r2T curve shows a broad hump with two metal-semiconductor-like transitions near 160 and 50 K. This strange and characteristic behavior has been ob- served in samples with the Ca content x>13.0. The ﬁrst increase near 160 K reminds us of an incomplete Peierls- transition observed in a quasi-1D system such as NbSe3.56–59 The resistivity of NbSe3 shows a downturn soon after the transition because of incomplete nesting of the Fermi surface owing to two-dimensional character in its electronic struc- FIG."
Paper_6,Sr0.4Ca13.6Cu24O41,transition temperature (mid point),13,K,"Structural and electrical properties under high pressure for the superconducting spin-ladder system Sr0.4Ca13.6Cu24O411d M. Isobe, T. Ohta, M. Onoda, F. Izumi, S. Nakano, J. Q. Li,* Y. Matsui, and E. Takayama-Muromachi National Institute for Research in Inorganic Materials (NIRIM), 1-1 Namiki, Tsukuba, Ibaraki 305 Japan T. Matsumoto The r-T curves in the normal state above 5 GPa obey a power law of tem- perature in the wide range of temperature between 7 and over 200 K, suggesting that carriers are mainly scattered by spin ﬂuctuation as well as in 2D high-Tc cuprates. Tc increases up to ;13 K at 5 GPa, and then is suppressed in the metallic state above 5 GPa."
Paper_7,YBa2Cu3O7,transition temperature (mid point),90,K,"VOLUME 81, NUMBER 25 P H Y S I C A L R E V I E W L E T T E R S 21 DECEMBER 1998 Normal-State Resistivity Anisotropy in Underdoped RBa2Cu3O61x Crystals A. N. Lavrov,* M. Yu. Kameneva, and L. P. Kozeeva The salient consequence of charge conﬁnement is a possibility of superconductivity owing to interlayer pair tunneling [4,5]. Important exceptions from this straightforward pic- ture were however found, and the best known one is YBa2Cu3O7 (Y-123) which is a 90-K superconductor, but possesses a metallic out-of-plane conductivity [7]."
Paper_7,Sr2RuO4,transition temperature (mid point),120,K,"VOLUME 81, NUMBER 25 P H Y S I C A L R E V I E W L E T T E R S 21 DECEMBER 1998 Normal-State Resistivity Anisotropy in Underdoped RBa2Cu3O61x Crystals A. N. Lavrov,* M. Yu. Kameneva, and L. P. Kozeeva However, we probably should search for a more general explanation for the puzzling c transport rather than that based on structural peculiarities of R-123. Actually, apart from the resistivity scale, similar behavior (rab ~ T2 and a crossover in rc at ø120 K) was observed in the noncuprate layered system Sr2RuO4 [15], and the anisotropy saturation at low T was reported for La22xSrxCuO4 [3]."
Paper_8,Re24Ti5,transition temperature (mid point),5.8,K,"Superconductor Science and Technology PAPER Rietveld reﬁnement of powder XRD data conﬁrms that Re24Ti5 crystallizes in the α-Mn structure. All measured quantities demonstrate a bulk superconducting transition at Tc = 5.8 K. Our low-temperature speciﬁc heat data measured down to 0.5 K yield a Sommerfeld coefﬁcient γ = 111.8 mJ mol−1 K−2, which implies a high density of states at the Fermi level."
Paper_8,Re24Ti5,transition temperature (mid point),5.8,K,"Superconductor Science and Technology PAPER In this respect, Re24Ti5 would provide an opportunity to search for the existence of a mixture of spin singlet and spin triplet states in the SC phase of the noncentrosymmetric compounds. In this paper, we report on the synthesis and charac- terization of Re24Ti5, which exhibits a distinct bulk SC transition at Tc ≃5.8 K. Measurements of the magnetic, transport, and thermal properties have been performed."
Paper_8,Re24Ti5,transition temperature (mid point),5.8,K,Superconductor Science and Technology PAPER The temperature-dependent magnetic susceptibility for Re24Ti5 is shown in ﬁgure 2. The observed diamagnetic behavior below the transition temperature Tc ≃ 5.8 K conﬁrms the occurrence of superconductivity in this material.
Paper_8,Re24Ti5,transition temperature (mid point),5.8,K,"Superconductor Science and Technology PAPER (2) Here µ∗is the Coulomb pseudopotential of about 0.13 used in Re23.8Nb5.2 and other intermetallic superconductors [9, 27, 28]. Taking θD = 428 K and Tc = 5.8 K, we obtained λep = 0.6 for Re24Ti5."
Paper_8,Re24Ti5,transition temperature (mid point),5.8,K,Superconductor Science and Technology PAPER Parameters for normal and superconducting states of Re24Ti5. Parameter Unit Re24Ti5 Re23.8Nb5.2 [9] Tc K 5.8 8.8 ρo µ cm 214.7 189 A µ cm K−2 0.022 0.007 TF K 22 400 N(EF) states eV−1 f.u.−1 14.85 6.56 µoHc2(0) T 10.75 17.3 γ mJ mol−1 K−2 111.8 53.4 β mJ mol−1 K−4 1.47 2.05 θD K 428 383 λep 0.6 0.73 1Ce/Tc mJ mol−1 K−2 169 100 1Ce/γ Tc 1.51 1.86 1/kB K 10.6 16.1 21/kBTc 3.68 3.67 superconductors.
Paper_8,Re23.8Nb5.2 [9],transition temperature (mid point),8.8,K,Superconductor Science and Technology PAPER Parameters for normal and superconducting states of Re24Ti5. Parameter Unit Re24Ti5 Re23.8Nb5.2 [9] Tc K 5.8 8.8 ρo µ cm 214.7 189 A µ cm K−2 0.022 0.007 TF K 22 400 N(EF) states eV−1 f.u.−1 14.85 6.56 µoHc2(0) T 10.75 17.3 γ mJ mol−1 K−2 111.8 53.4 β mJ mol−1 K−4 1.47 2.05 θD K 428 383 λep 0.6 0.73 1Ce/Tc mJ mol−1 K−2 169 100 1Ce/γ Tc 1.51 1.86 1/kB K 10.6 16.1 21/kBTc 3.68 3.67 superconductors.
Paper_8,Re24Ti5,transition temperature (mid point),5.74,K,"Superconductor Science and Technology PAPER The ﬁtting result is quite satisfactory, yielding an isotropic gap 1/kB of about 10.6 K for Re24Ti5. Also the superconducting transition temperature of 5.74 K revealed from the ﬁt is close to those from the transport and magnetic measurements."
Paper_8,Re24Ti5,transition temperature (mid point),5.8,K,"Superconductor Science and Technology PAPER According to our Ce(T) analysis, Re24Ti5 is better described as an ordinary s-wave superconductor, indicating that a mixture of the spin singlet and triplet states in the SC phase driven by the ASOC effect is invisible. This result is likely due to a small band splitting lifted by ASOC as compared to the transition temperature Tc ≃5.8 K for Re24Ti5."
Paper_9,YBa2Cu3O7,transition temperature (mid point),93.9,K,"PHYSICAL REVIEW B VOLUME 50, NUMBER 5 1 AUGUST 1994-I Nernst, Seebeck, and Hall efFects in the mixed state of YBazCu3O'7 —$ and Bi2Sr2CaCuzOs+ 8(b) the H, versus T dependence determined by the fitting process is shown. The fit to the BCS result yields H, ( T =0)= 1.24 T and T,(H =0)=93.9 K. Using the relations v 2H, =ir@o/(2m', &) an, d H,z(T)=~2lrH, (T) we obtain A,,b(0) = 1170 A and dH, 2ldT =—2.3 T/K at T,."
Paper_9,YBa2Cu3O7,transition temperature (mid point),93.8,K,"PHYSICAL REVIEW B VOLUME 50, NUMBER 5 1 AUGUST 1994-I Nernst, Seebeck, and Hall efFects in the mixed state of YBazCu3O'7 —$ and Bi2Sr2CaCuzOs+ 5(a), the failing of the high-field GL approximation manifests itself in a notable field depen- dence of the slope dU&/dT at constant temperature. However, the value of sc obtained from the fitting pro- cedure strongly increases with temperature for T& 87 K. 0.020 0.015-- YBa2Cu307 6 ~ 0010 I 0.005 x=75 H, (0) = 1.24 T TG(0) = 93.8 K 0.000 30 I I I I I I I I I I I 10 20 30 40 50 60 H' 20— 0 80 T (K3 90 95 FIG."
Paper_9,Bi2Sr2CaCu2O8+δ,transition temperature (mid point),90.4,K,"PHYSICAL REVIEW B VOLUME 50, NUMBER 5 1 AUGUST 1994-I Nernst, Seebeck, and Hall efFects in the mixed state of YBazCu3O'7 —$ and Bi2Sr2CaCuzOs+ Whereas the scaling analysis yields dH, z IdT = —1.9 T/K, the linear extrapolation of the Et- tingshausen coefficient applying the high-field limit yields —7 T/K similar to our result. For BizSrzCaCuzOs+„ the derived values of T,z(0)=90.4 K and dH, z/d T = —2.5 T/K agree well with those obtained from magne- tization measurements."
Paper_9,YBa2Cu3O7,transition temperature (mid point),79.8,K,"PHYSICAL REVIEW B VOLUME 50, NUMBER 5 1 AUGUST 1994-I Nernst, Seebeck, and Hall efFects in the mixed state of YBazCu3O'7 —$ and Bi2Sr2CaCuzOs+ It was observed that the crossing point is sharp only for applied fields smaller than about 5 T. For higher fields the crossing point is smeared out as shown by Fig. For H(5 T we obtain T *=79.8 K and U&(T"")=4.1X1 0' J/m."
Paper_9,Bi2Sr2CaCu2O8+δ,transition temperature (mid point),20.2,K,"PHYSICAL REVIEW B VOLUME 50, NUMBER 5 1 AUGUST 1994-I Nernst, Seebeck, and Hall efFects in the mixed state of YBazCu3O'7 —$ and Bi2Sr2CaCuzOs+ Here, the quasi-2D nature of the material re- sults in a very low glass temperature. For example, from experiments on Bi2Sr2CaCu208+„single crystals a glass temperature Ts =20.2 K was obtained by Safar et al. '"
Paper_1,Ru7B3,transition width for resistive transition,0.1,K,"Superconducting State of the Binary Boride Ru7B3 with the Noncentrosymmetric Crystal Structure Naoki KASE and Jun AKIMITSU Department of Physics and Mathematics, Aoyama Gakuin University, 5-10-1 Fuchinobe, Sagamihara, Kanagawa 229-8558 3.3 Electrical resistivity Figure 4 shows electrical resistivity as a function of temperature between 2.0 and 300 K. The onset and zero- resistivity temperatures were observed to be 2.95 and 2.8 K, respectively. Transition width can be deﬁned as the temper- ature interval between 10 and 90% of the transition and is estimated to be approximately 0.1 K. The sharp super- conducting transition indicates the high purity of the sample."
Paper_11,LaRu2P2,transition width for resistive transition,0.1,K,Superconductor Science and Technology Isotropic superconductivity in LaRu2P2 with the The value of the residual resistivity is much smaller than that in 122 iron-based superconductors. The critical temperature determined from the midpoint of the resistive transition is 3.7 K. The 10–90% width in zero ﬁeld is 0.1 K as shown in the upper inset of ﬁgure 1.
Paper_9,YBa2Cu3O7,transition width for resistive transition,12,K,"PHYSICAL REVIEW B VOLUME 50, NUMBER 5 1 AUGUST 1994-I Nernst, Seebeck, and Hall efFects in the mixed state of YBazCu3O'7 —$ and Bi2Sr2CaCuzOs+ For a quasi-2D superconductor in perpendicular magnetic field the high-field limit is equivalent to the condition ~ T —T,z(H) ~ & 6H/— (dH, 2/dT). As an example, for an applied field of 4 T and with dH, 2/1—T= 2 T/K for YBaiCu307 s, this re- sults in ~T —T, (2H)~ &12 K. Experimentally the actual range of applicability of the high-field limit was found to be even wider."
