sentence,passage,doi
"[28] Wakita T, Paris E, Mizokawa T, et al.","Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi 2016;77:131–137. [28] Wakita T, Paris E, Mizokawa T, et al.",Paper_12
"Determination of the local structure of CsBi4-xPbxTe6 (x = 0, 0.5) by X-ray absorption spectroscopy.","Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi [28] Wakita T, Paris E, Mizokawa T, et al. Determination of the local structure of CsBi4-xPbxTe6 (x = 0, 0.5) by X-ray absorption spectroscopy.",Paper_12
2016;18:25136–25142.,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi Determination of the local structure of CsBi4-xPbxTe6 (x = 0, 0.5) by X-ray absorption spectroscopy. 2016;18:25136–25142.",Paper_12
"[29] Doniach S, Šunjić M. Many-electron singularity in X-ray photoemission and X-ray line spectra from metals.","Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi 2016;18:25136–25142. [29] Doniach S, Šunjić M. Many-electron singularity in X-ray photoemission and X-ray line spectra from metals.",Paper_12
J Phys C. 1970;3:285–291.,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi [29] Doniach S, Šunjić M. Many-electron singularity in X-ray photoemission and X-ray line spectra from metals. J Phys C. 1970;3:285–291.",Paper_12
"[30] Citrin PH, Wertheim GK, Baer Y. Surface-atom X- ray photoemission from clean metals: Cu, Ag, and Au.","Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi J Phys C. 1970;3:285–291. [30] Citrin PH, Wertheim GK, Baer Y. Surface-atom X- ray photoemission from clean metals: Cu, Ag, and Au.",Paper_12
1983;27:3160–3175.,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi [30] Citrin PH, Wertheim GK, Baer Y. Surface-atom X- ray photoemission from clean metals: Cu, Ag, and Au. 1983;27:3160–3175.",Paper_12
"[31] Werthamer NR, Helfand E, Hohenberg PC.","Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi 1983;27:3160–3175. [31] Werthamer NR, Helfand E, Hohenberg PC.",Paper_12
"Temperature and purity dependence of the super- conducting critical ﬁeld, Hc2.","Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi [31] Werthamer NR, Helfand E, Hohenberg PC. Temperature and purity dependence of the super- conducting critical ﬁeld, Hc2.",Paper_12
1966;147:295– 302.,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi Temperature and purity dependence of the super- conducting critical ﬁeld, Hc2. 1966;147:295– 302.",Paper_12
19 (2018) 916 R. MATSUMOTO et al.,"Science and Technology of Advanced Materials ISSN: 1468-6996 (Print) 1878-5514 (Online) Journal homepage: www.tandfonline.com/journals/tsta20 Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4 Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi 1966;147:295– 302. 19 (2018) 916 R. MATSUMOTO et al.",Paper_12
"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence of the surface impedance of YBa2Cu&O& 8 thin films in a dc magnetic field: Investigation of vortex dynam1cs Sylvie Revenaz* Lincoln Laboratory, Massachusetts Institute of Technology, Lexington, Massachusetts 0217$ 91-08; Department of Physics, Massachusetts Institute of Technology, Cambridge Massachusetts 091$9 /$0-7; and Rome Laboratory, Hanscom Air Force Base, Massachusetts 01731-3010 D. E. Oates LincolnLa, boratory, Massachusetts Institute of Technology, Lexington, Massachusetts 0217$ 9108- D. Labbe-Lavigne 199 Hamilton Street, Cambridge, Massachusetts 02139 G. Dresselhaus Francis Bitter ItIational Magnet Laboratory, Massachusetts Institute of Technology, Cambridge, Massachusetts 091$9$$07- and Rome Laboratory, Hanscom Air Force Base, Massachusetts 01731-3010 M. S. Dresselhaus Department of Electrical Engineering and Computer Science and Department of Physics, Massachusetts Institute of Technology, Cambridge, Massachusetts 091$9$$07- (Received 17 January 1994) We report measurements of the surface impedance Z, = R, +i~A' of YBaqCu30q g thin 6lms in an externally applied dc magnetic field B (parallel to the c axis) using a stripline resonator.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence  PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence of the surface impedance of YBa2Cu&O& 8 thin films in a dc magnetic field: Investigation of vortex dynam1cs Sylvie Revenaz* Lincoln Laboratory, Massachusetts Institute of Technology, Lexington, Massachusetts 0217$ 91-08; Department of Physics, Massachusetts Institute of Technology, Cambridge Massachusetts 091$9 /$0-7; and Rome Laboratory, Hanscom Air Force Base, Massachusetts 01731-3010 D. E. Oates LincolnLa, boratory, Massachusetts Institute of Technology, Lexington, Massachusetts 0217$ 9108- D. Labbe-Lavigne 199 Hamilton Street, Cambridge, Massachusetts 02139 G. Dresselhaus Francis Bitter ItIational Magnet Laboratory, Massachusetts Institute of Technology, Cambridge, Massachusetts 091$9$$07- and Rome Laboratory, Hanscom Air Force Base, Massachusetts 01731-3010 M. S. Dresselhaus Department of Electrical Engineering and Computer Science and Department of Physics, Massachusetts Institute of Technology, Cambridge, Massachusetts 091$9$$07- (Received 17 January 1994) We report measurements of the surface impedance Z, = R, +i~A' of YBaqCu30q g thin 6lms in an externally applied dc magnetic field B (parallel to the c axis) using a stripline resonator.",Paper_13
"At T = 4.3 K we obtain the surface resistance R, and the microwave penetration depth A' as a function of applied dc field up to 5 T and as a function of microwave frequency f from 1.2 to 20 GHz.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence of the surface impedance of YBa2Cu&O& 8 thin films in a dc magnetic field: Investigation of vortex dynam1cs Sylvie Revenaz* Lincoln Laboratory, Massachusetts Institute of Technology, Lexington, Massachusetts 0217$ 91-08; Department of Physics, Massachusetts Institute of Technology, Cambridge Massachusetts 091$9 /$0-7; and Rome Laboratory, Hanscom Air Force Base, Massachusetts 01731-3010 D. E. Oates LincolnLa, boratory, Massachusetts Institute of Technology, Lexington, Massachusetts 0217$ 9108- D. Labbe-Lavigne 199 Hamilton Street, Cambridge, Massachusetts 02139 G. Dresselhaus Francis Bitter ItIational Magnet Laboratory, Massachusetts Institute of Technology, Cambridge, Massachusetts 091$9$$07- and Rome Laboratory, Hanscom Air Force Base, Massachusetts 01731-3010 M. S. Dresselhaus Department of Electrical Engineering and Computer Science and Department of Physics, Massachusetts Institute of Technology, Cambridge, Massachusetts 091$9$$07- (Received 17 January 1994) We report measurements of the surface impedance Z, = R, +i~A' of YBaqCu30q g thin 6lms in an externally applied dc magnetic field B (parallel to the c axis) using a stripline resonator. At T = 4.3 K we obtain the surface resistance R, and the microwave penetration depth A' as a function of applied dc field up to 5 T and as a function of microwave frequency f from 1.2 to 20 GHz.",Paper_13
"While A' increases linearly with B for B) 1 T at all frequencies, R, is found to be roughly ocB,where a(f) & 1 for f & 10 GHz and a(f) 1 for f & 10 GHz.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence At T = 4.3 K we obtain the surface resistance R, and the microwave penetration depth A' as a function of applied dc field up to 5 T and as a function of microwave frequency f from 1.2 to 20 GHz. While A' increases linearly with B for B) 1 T at all frequencies, R, is found to be roughly ocB,where a(f) & 1 for f & 10 GHz and a(f) 1 for f & 10 GHz.",Paper_13
"1 T, R, shows a much weaker dependence on f The re.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence While A' increases linearly with B for B) 1 T at all frequencies, R, is found to be roughly ocB,where a(f) & 1 for f & 10 GHz and a(f) 1 for f & 10 GHz. 1 T, R, shows a much weaker dependence on f The re.",Paper_13
"sults for Z, (f, T, B) have been quantitatively explained using a model developed by Coffey and Clem, based on a self-consistent treatment of vortex dynamics that includes the in6uence of vortex pinning, viscous drag, and Bux creep.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 1 T, R, shows a much weaker dependence on f The re. sults for Z, (f, T, B) have been quantitatively explained using a model developed by Coffey and Clem, based on a self-consistent treatment of vortex dynamics that includes the in6uence of vortex pinning, viscous drag, and Bux creep.",Paper_13
"The pinning force constant a„,the pinning frequency u„,and the pinning activation energy Uo(T, B) are obtained through the 6tting procedure.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence sults for Z, (f, T, B) have been quantitatively explained using a model developed by Coffey and Clem, based on a self-consistent treatment of vortex dynamics that includes the in6uence of vortex pinning, viscous drag, and Bux creep. The pinning force constant a„,the pinning frequency u„,and the pinning activation energy Uo(T, B) are obtained through the 6tting procedure.",Paper_13
We 6nd that the effects of thermally activated Sux creep at 4.3 K upon the surface resistance are signi6cant.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The pinning force constant a„,the pinning frequency u„,and the pinning activation energy Uo(T, B) are obtained through the 6tting procedure. We 6nd that the effects of thermally activated Sux creep at 4.3 K upon the surface resistance are signi6cant.",Paper_13
The low Uo 35 K that we determine is interpreted as arising from the interaction of the vortex lattice with a dense random pinning potential as described in the collective-pinning theory.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence We 6nd that the effects of thermally activated Sux creep at 4.3 K upon the surface resistance are signi6cant. The low Uo 35 K that we determine is interpreted as arising from the interaction of the vortex lattice with a dense random pinning potential as described in the collective-pinning theory.",Paper_13
Hence vortex motion strongly a8'ects the shielding properties of a type II superconduc- tor in the mixed state and influences both the real and imaginary parts of either the magnetic permeability or the surface impedance.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The low Uo 35 K that we determine is interpreted as arising from the interaction of the vortex lattice with a dense random pinning potential as described in the collective-pinning theory. Hence vortex motion strongly a8'ects the shielding properties of a type II superconduc- tor in the mixed state and influences both the real and imaginary parts of either the magnetic permeability or the surface impedance.",Paper_13
"In this paper we present measurements of the surface impedance 2, = R, +iX, of YBa2Cus07 s (YBCO) thin films in applied dc magnetic fields (0 & B & 5 T).","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence Hence vortex motion strongly a8'ects the shielding properties of a type II superconduc- tor in the mixed state and influences both the real and imaginary parts of either the magnetic permeability or the surface impedance. In this paper we present measurements of the surface impedance 2, = R, +iX, of YBa2Cus07 s (YBCO) thin films in applied dc magnetic fields (0 & B & 5 T).",Paper_13
"A unified theory of the e8ects of vortex pinning and flux creep upon Z, of type II superconductors has re- cently been published by CofFey and Clem which ad- dresses the microscopic mechanisms responsible for the frequency dependence of Z, of type II superconductors.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence In this paper we present measurements of the surface impedance 2, = R, +iX, of YBa2Cus07 s (YBCO) thin films in applied dc magnetic fields (0 & B & 5 T). A unified theory of the e8ects of vortex pinning and flux creep upon Z, of type II superconductors has re- cently been published by CofFey and Clem which ad- dresses the microscopic mechanisms responsible for the frequency dependence of Z, of type II superconductors.",Paper_13
0163-1829/94/5+2)/1178(12)/$06.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence A unified theory of the e8ects of vortex pinning and flux creep upon Z, of type II superconductors has re- cently been published by CofFey and Clem which ad- dresses the microscopic mechanisms responsible for the frequency dependence of Z, of type II superconductors. 0163-1829/94/5+2)/1178(12)/$06.",Paper_13
00 50 1178 1994 The American Physical Society 50 FREQUENCY DEPENDENCE OF THE SURFACE IMPEDANCE OF.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 0163-1829/94/5+2)/1178(12)/$06. 00 50 1178 1994 The American Physical Society 50 FREQUENCY DEPENDENCE OF THE SURFACE IMPEDANCE OF.",Paper_13
1179 We use the Co8ey-Clem model to explain quantitatively our experimental results.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 00 50 1178 1994 The American Physical Society 50 FREQUENCY DEPENDENCE OF THE SURFACE IMPEDANCE OF. 1179 We use the Co8ey-Clem model to explain quantitatively our experimental results.",Paper_13
We 6nd that Bux creep strongly in8uences the microwave sur- face resistance at 4.3 K. In our analysis we incorporated microscopic aspects of collective-pinning theory into the CoEey-Clem model.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 1179 We use the Co8ey-Clem model to explain quantitatively our experimental results. We 6nd that Bux creep strongly in8uences the microwave sur- face resistance at 4.3 K. In our analysis we incorporated microscopic aspects of collective-pinning theory into the CoEey-Clem model.",Paper_13
There are also reports of devices such as microwave &e- quency circulators~~ that operate by design in an applied magnetic 6eld.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence We 6nd that Bux creep strongly in8uences the microwave sur- face resistance at 4.3 K. In our analysis we incorporated microscopic aspects of collective-pinning theory into the CoEey-Clem model. There are also reports of devices such as microwave &e- quency circulators~~ that operate by design in an applied magnetic 6eld.",Paper_13
CAPACITIVE COUPLING 1) y PATTERNED CENTER LINE (b) FIG.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence There are also reports of devices such as microwave &e- quency circulators~~ that operate by design in an applied magnetic 6eld. CAPACITIVE COUPLING 1) y PATTERNED CENTER LINE (b) FIG.",Paper_13
"STRIPLINE RESONATOR AND 2 MEASUREMENT The measurements of Z, were made using the two-port stripline resonator structure described previously and shown in Fig.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence CAPACITIVE COUPLING 1) y PATTERNED CENTER LINE (b) FIG. STRIPLINE RESONATOR AND 2 MEASUREMENT The measurements of Z, were made using the two-port stripline resonator structure described previously and shown in Fig.",Paper_13
"The resonator consists of a strip line transmission line, patterned by photolithography, one- half wavelength long at the fundamental frequency fo, with fe = 1.24 GHz and 1.46 GHz for the two resonators used.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence STRIPLINE RESONATOR AND 2 MEASUREMENT The measurements of Z, were made using the two-port stripline resonator structure described previously and shown in Fig. The resonator consists of a strip line transmission line, patterned by photolithography, one- half wavelength long at the fundamental frequency fo, with fe = 1.24 GHz and 1.46 GHz for the two resonators used.",Paper_13
"The unloaded Q is given by 1/Q„=1/Q, + tan6 = af~+ tan6, where Q, is the Q of the superconductor and tan b is the loss tangent of the dielectric substrate.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The resonator consists of a strip line transmission line, patterned by photolithography, one- half wavelength long at the fundamental frequency fo, with fe = 1.24 GHz and 1.46 GHz for the two resonators used. The unloaded Q is given by 1/Q„=1/Q, + tan6 = af~+ tan6, where Q, is the Q of the superconductor and tan b is the loss tangent of the dielectric substrate.",Paper_13
"r, P g 1 in an applied field B) poH, q, where H, q is the field at which flux penetrates the sample.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The unloaded Q is given by 1/Q„=1/Q, + tan6 = af~+ tan6, where Q, is the Q of the superconductor and tan b is the loss tangent of the dielectric substrate. r, P g 1 in an applied field B) poH, q, where H, q is the field at which flux penetrates the sample.",Paper_13
We assume that tan 6 is inde- pendent of &equency and magnetic 6eld in the frequency range 1—20 GHz.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence r, P g 1 in an applied field B) poH, q, where H, q is the field at which flux penetrates the sample. We assume that tan 6 is inde- pendent of &equency and magnetic 6eld in the frequency range 1—20 GHz.",Paper_13
"By plotting Q„versus f we determine tan h —5 x 10 s at 4.3 K in the LaA10s substrates that we used and verify that substrate losses are not limiting the measured Q that is used to calculate R,.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence We assume that tan 6 is inde- pendent of &equency and magnetic 6eld in the frequency range 1—20 GHz. By plotting Q„versus f we determine tan h —5 x 10 s at 4.3 K in the LaA10s substrates that we used and verify that substrate losses are not limiting the measured Q that is used to calculate R,.",Paper_13
Radiation losses can be neglected because the ground planes serve to confine the 6elds inside the resonator and the radiation Q is greater than 3 x 10s.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence By plotting Q„versus f we determine tan h —5 x 10 s at 4.3 K in the LaA10s substrates that we used and verify that substrate losses are not limiting the measured Q that is used to calculate R,. Radiation losses can be neglected because the ground planes serve to confine the 6elds inside the resonator and the radiation Q is greater than 3 x 10s.",Paper_13
1) and put at its location a Hall sensor.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence Radiation losses can be neglected because the ground planes serve to confine the 6elds inside the resonator and the radiation Q is greater than 3 x 10s. 1) and put at its location a Hall sensor.",Paper_13
In applied 6elds greater than —0.1 T the field between the ground planes is measured to be equal to the applied field.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 1) and put at its location a Hall sensor. In applied 6elds greater than —0.1 T the field between the ground planes is measured to be equal to the applied field.",Paper_13
1 the rf current distri- bution in zero dc 6eld has been calculated by Sheen et al.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence In applied 6elds greater than —0.1 T the field between the ground planes is measured to be equal to the applied field. 1 the rf current distri- bution in zero dc 6eld has been calculated by Sheen et al.",Paper_13
"As a function of posi- tion z along the length / of the line, the total current I,r 1180 SYLVIE REVENAZ et al.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 1 the rf current distri- bution in zero dc 6eld has been calculated by Sheen et al. As a function of posi- tion z along the length / of the line, the total current I,r 1180 SYLVIE REVENAZ et al.",Paper_13
"50 is given by I,i = Io sin(nvrz/l), where n is the resonance mode number.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence As a function of posi- tion z along the length / of the line, the total current I,r 1180 SYLVIE REVENAZ et al. 50 is given by I,i = Io sin(nvrz/l), where n is the resonance mode number.",Paper_13
"The resonant frequency is proportional to 1/~L, where L is the inductance per unit length of the stripline which depends upon A', and L(A') has been calculated numerically from the current distribution.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 50 is given by I,i = Io sin(nvrz/l), where n is the resonance mode number. The resonant frequency is proportional to 1/~L, where L is the inductance per unit length of the stripline which depends upon A', and L(A') has been calculated numerically from the current distribution.",Paper_13
i The relationship = gL(A') f dA' g gL(AI) p enables us to calculate A'(B) at each resonant frequency if we know A'(B = 0).,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The resonant frequency is proportional to 1/~L, where L is the inductance per unit length of the stripline which depends upon A', and L(A') has been calculated numerically from the current distribution. i The relationship = gL(A') f dA' g gL(AI) p enables us to calculate A'(B) at each resonant frequency if we know A'(B = 0).",Paper_13
"In zero field, A' is the usual penetration depth which in the two-fluid model is given by (4) Since only frequency shifts are measured, we do not have any direct determination of A(0) = A' (T = 0, B = 0).","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence i The relationship = gL(A') f dA' g gL(AI) p enables us to calculate A'(B) at each resonant frequency if we know A'(B = 0). In zero field, A' is the usual penetration depth which in the two-fluid model is given by (4) Since only frequency shifts are measured, we do not have any direct determination of A(0) = A' (T = 0, B = 0).",Paper_13
The determination of A(0) is model dependent and we have used a two-fluid-model fit of the data at f(T)(Refs.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence In zero field, A' is the usual penetration depth which in the two-fluid model is given by (4) Since only frequency shifts are measured, we do not have any direct determination of A(0) = A' (T = 0, B = 0). The determination of A(0) is model dependent and we have used a two-fluid-model fit of the data at f(T)(Refs.",Paper_13
"13 and 14) to obtain an accurate estimate of A'(T O, B = 0).","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The determination of A(0) is model dependent and we have used a two-fluid-model fit of the data at f(T)(Refs. 13 and 14) to obtain an accurate estimate of A'(T O, B = 0).",Paper_13
"Study of the behavior of A(T, B = 0) is a problem of some importance, but is not the subject of this paper.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 13 and 14) to obtain an accurate estimate of A'(T O, B = 0). Study of the behavior of A(T, B = 0) is a problem of some importance, but is not the subject of this paper.",Paper_13
We found that a two-Quid-model fit to our experimental data2o gives us a A(0) value with an accuracy of 20%.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence Study of the behavior of A(T, B = 0) is a problem of some importance, but is not the subject of this paper. We found that a two-Quid-model fit to our experimental data2o gives us a A(0) value with an accuracy of 20%.",Paper_13
The value thus obtained for the two films considered in this study is A(0) = 170 nm.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence We found that a two-Quid-model fit to our experimental data2o gives us a A(0) value with an accuracy of 20%. The value thus obtained for the two films considered in this study is A(0) = 170 nm.",Paper_13
"As will be seen below, our findings are not strongly in6uenced by the functional form of the temperature dependence of The R, is calculated from the measured Q and &om fo according to the relationshipi4'is rfe b, (A'/d) Q ' where I' is a geometrical factor (I' = 0.41 0/GHz in our case) and b, (A'/d) is a correction factor calculated from the current distribution, which is important when A'/d (d is the thickness of the film) becomes comparable to unity.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The value thus obtained for the two films considered in this study is A(0) = 170 nm. As will be seen below, our findings are not strongly in6uenced by the functional form of the temperature dependence of The R, is calculated from the measured Q and &om fo according to the relationshipi4'is rfe b, (A'/d) Q ' where I' is a geometrical factor (I' = 0.41 0/GHz in our case) and b, (A'/d) is a correction factor calculated from the current distribution, which is important when A'/d (d is the thickness of the film) becomes comparable to unity.",Paper_13
1) con- sists of three YBCO thin films clamped together.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence As will be seen below, our findings are not strongly in6uenced by the functional form of the temperature dependence of The R, is calculated from the measured Q and &om fo according to the relationshipi4'is rfe b, (A'/d) Q ' where I' is a geometrical factor (I' = 0.41 0/GHz in our case) and b, (A'/d) is a correction factor calculated from the current distribution, which is important when A'/d (d is the thickness of the film) becomes comparable to unity. 1) con- sists of three YBCO thin films clamped together.",Paper_13
All the films were deposited on LaA10s substrates.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 1) con- sists of three YBCO thin films clamped together. All the films were deposited on LaA10s substrates.",Paper_13
"To obtain the meander line that constitutes the center conductor of the resonator, YBCO was deposited directly on a 10 x 10-mm2 substrate for resonator No.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence All the films were deposited on LaA10s substrates. To obtain the meander line that constitutes the center conductor of the resonator, YBCO was deposited directly on a 10 x 10-mm2 substrate for resonator No.",Paper_13
"1, and on a 2- in.-diameter wafer that was subsequently cut into 10 x 10-mm2 pieces for resonator No.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence To obtain the meander line that constitutes the center conductor of the resonator, YBCO was deposited directly on a 10 x 10-mm2 substrate for resonator No. 1, and on a 2- in.-diameter wafer that was subsequently cut into 10 x 10-mm2 pieces for resonator No.",Paper_13
The lines were pat- terned by standard photolithography and were etched us- ing 0.25%%up phosphoric acid in water.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence 1, and on a 2- in.-diameter wafer that was subsequently cut into 10 x 10-mm2 pieces for resonator No. The lines were pat- terned by standard photolithography and were etched us- ing 0.25%%up phosphoric acid in water.",Paper_13
The penetration depth at T = 0 K and in zero applied dc magnetic field A(0) is the parameter of a two-Quid-model St to our experimental points.,"PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The lines were pat- terned by standard photolithography and were etched us- ing 0.25%%up phosphoric acid in water. The penetration depth at T = 0 K and in zero applied dc magnetic field A(0) is the parameter of a two-Quid-model St to our experimental points.",Paper_13
"2 0.3 90.4 1.2 x 10"" 0.22 90.3 4.22 1.18 2.7x10 ' dc properties d Tc po p1 Jc0 (pm) (R = 0) (pO cm) (y,O cm K ') (A/cm ) f (GHz) 1.46 1.46 14.6 1.24 1.24 12.4 rf properties T R (K) (fl) 6.7 6.75 x 10 77 200 x 10 4.3 2.00 x 10 6.7 1.95 x 10 77 1.28 x 10 4.3 1.50 x 10 1700 1700 Micro@rave measurements give T 89.5 K. The critical temperature T eras determined &om the St of the f(T) data to the two-tuid model.","PHYSICAL REVIEW B VOLUME 50, NUMBER 2 1 JULY 1994-II Frequency dependence The penetration depth at T = 0 K and in zero applied dc magnetic field A(0) is the parameter of a two-Quid-model St to our experimental points. 2 0.3 90.4 1.2 x 10"" 0.22 90.3 4.22 1.18 2.7x10 ' dc properties d Tc po p1 Jc0 (pm) (R = 0) (pO cm) (y,O cm K ') (A/cm ) f (GHz) 1.46 1.46 14.6 1.24 1.24 12.4 rf properties T R (K) (fl) 6.7 6.75 x 10 77 200 x 10 4.3 2.00 x 10 6.7 1.95 x 10 77 1.28 x 10 4.3 1.50 x 10 1700 1700 Micro@rave measurements give T 89.5 K. The critical temperature T eras determined &om the St of the f(T) data to the two-tuid model.",Paper_13
